id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,142,0,0,142
UNIVALLE,29,26,116,145
BUITRERA,47,17,128,175
MELENDEZ,153,15,160,313
CAPRI,52,39,274,326
CALDAS,63,27,300,363
REFUGIO,318,67,296,614
PAMPALINDA,55,193,421,476
PLZ TOROS,90,39,436,527
UND DEPORT,127,52,475,602
LIDO,117,116,487,603
TEQUENDAMA,159,106,498,656
ESTADIO,22,75,581,603
MZ. SABER,160,199,404,564
ST LIBRADA,143,225,339,482
SAN BOSCO,761,134,349,1109
SAN PASCUA,18,138,971,989
SUCRE,19,16,973,992
PETECUY,64,74,918,982
SAN PEDRO,46,748,234,280
T. CALI,135,113,166,301
SAN NICOLA,11,46,255,266
PILOTO,6,53,213,219
FATIMA,4,80,140,144
MANZANARES,19,57,87,105
POPULAR,14,28,77,92
SALOMIA,7,29,63,69
FLORA IND,3,24,45,48
CHIMINANGOS,0,48,0,0
