Hora,Hora_mat,Veh_ida,Veh_vuelta
05:00,18000,E21_1,E21_207
05:05,18318,E21_2,E21_208
05:10,18636,E21_3,E21_209
05:15,18954,E21_4,E21_210
05:21,19272,E21_5,E21_211
05:26,19590,E21_6,E21_212
05:31,19908,E21_7,E21_213
05:37,20226,E21_8,E21_214
05:42,20544,E21_9,E21_215
05:47,20862,E21_10,E21_216
05:53,21180,E21_11,E21_217
05:58,21498,E21_12,E21_218
06:01,21711,E21_13,E21_219
06:05,21924,E21_14,E21_220
06:08,22137,E21_15,E21_221
06:12,22350,E21_16,E21_222
06:16,22563,E21_17,E21_223
06:19,22776,E21_18,E21_224
06:23,22989,E21_19,E21_225
06:26,23202,E21_20,E21_226
06:30,23415,E21_21,E21_227
06:33,23628,E21_22,E21_228
06:37,23841,E21_23,E21_229
06:40,24054,E21_24,E21_230
06:44,24267,E21_25,E21_231
06:48,24480,E21_26,E21_232
06:51,24693,E21_27,E21_233
06:55,24906,E21_28,E21_234
06:58,25119,E21_29,E21_235
07:02,25332,E21_30,E21_236
07:05,25545,E21_31,E21_237
07:09,25758,E21_32,E21_238
07:12,25971,E21_33,E21_239
07:16,26184,E21_34,E21_240
07:19,26397,E21_35,E21_241
07:23,26610,E21_36,E21_242
07:27,26823,E21_37,E21_243
07:30,27036,E21_38,E21_244
07:34,27249,E21_39,E21_245
07:37,27462,E21_40,E21_246
07:41,27675,E21_41,E21_247
07:44,27888,E21_42,E21_248
07:48,28101,E21_43,E21_249
07:51,28314,E21_44,E21_250
07:55,28527,E21_45,E21_251
07:59,28740,E21_46,E21_252
08:04,29070,E21_47,E21_253
08:10,29400,E21_48,E21_254
08:15,29730,E21_49,E21_255
08:21,30060,E21_50,E21_256
08:26,30390,E21_51,E21_257
08:32,30720,E21_52,E21_258
08:37,31050,E21_53,E21_259
08:43,31380,E21_54,E21_260
08:48,31710,E21_55,E21_261
08:54,32040,E21_56,E21_262
08:59,32370,E21_57,E21_263
09:06,32772,E21_58,E21_264
09:12,33174,E21_59,E21_265
09:19,33576,E21_60,E21_266
09:26,33978,E21_61,E21_267
09:33,34380,E21_62,E21_268
09:39,34782,E21_63,E21_269
09:46,35184,E21_64,E21_270
09:53,35586,E21_65,E21_271
09:59,35988,E21_66,E21_272
10:06,36390,E21_67,E21_273
10:13,36792,E21_68,E21_274
10:19,37194,E21_69,E21_275
10:26,37596,E21_70,E21_276
10:33,37998,E21_71,E21_277
10:40,38400,E21_72,E21_278
10:46,38802,E21_73,E21_279
10:53,39204,E21_74,E21_280
11:00,39606,E21_75,E21_281
11:06,40008,E21_76,E21_282
11:13,40410,E21_77,E21_283
11:20,40812,E21_78,E21_284
11:26,41214,E21_79,E21_285
11:33,41616,E21_80,E21_286
11:40,42018,E21_81,E21_287
11:47,42420,E21_82,E21_288
11:53,42822,E21_83,E21_289
12:00,43224,E21_84,E21_290
12:07,43626,E21_85,E21_291
12:13,44028,E21_86,E21_292
12:20,44430,E21_87,E21_293
12:27,44832,E21_88,E21_294
12:33,45234,E21_89,E21_295
12:40,45636,E21_90,E21_296
12:47,46038,E21_91,E21_297
12:54,46440,E21_92,E21_298
13:00,46842,E21_93,E21_299
13:07,47244,E21_94,E21_300
13:14,47646,E21_95,E21_301
13:20,48048,E21_96,E21_302
13:27,48450,E21_97,E21_303
13:34,48852,E21_98,E21_304
13:40,49254,E21_99,E21_305
13:47,49656,E21_100,E21_306
13:54,50058,E21_101,E21_307
14:01,50460,E21_102,E21_308
14:07,50862,E21_103,E21_309
14:14,51264,E21_104,E21_310
14:21,51666,E21_105,E21_311
14:27,52068,E21_106,E21_312
14:34,52470,E21_107,E21_313
14:41,52872,E21_108,E21_314
14:47,53274,E21_109,E21_315
14:54,53676,E21_110,E21_316
15:01,54078,E21_111,E21_317
15:08,54480,E21_112,E21_318
15:14,54882,E21_113,E21_319
15:21,55284,E21_114,E21_320
15:28,55686,E21_115,E21_321
15:34,56088,E21_116,E21_322
15:41,56490,E21_117,E21_323
15:48,56892,E21_118,E21_324
15:54,57294,E21_119,E21_325
16:01,57696,E21_120,E21_326
16:05,57936,E21_121,E21_327
16:09,58176,E21_122,E21_328
16:13,58416,E21_123,E21_329
16:17,58656,E21_124,E21_330
16:21,58896,E21_125,E21_331
16:25,59136,E21_126,E21_332
16:29,59376,E21_127,E21_333
16:33,59616,E21_128,E21_334
16:37,59856,E21_129,E21_335
16:41,60096,E21_130,E21_336
16:45,60336,E21_131,E21_337
16:49,60576,E21_132,E21_338
16:53,60816,E21_133,E21_339
16:57,61056,E21_134,E21_340
17:01,61296,E21_135,E21_341
17:05,61536,E21_136,E21_342
17:09,61776,E21_137,E21_343
17:13,62016,E21_138,E21_344
17:17,62256,E21_139,E21_345
17:21,62496,E21_140,E21_346
17:25,62736,E21_141,E21_347
17:29,62976,E21_142,E21_348
17:33,63216,E21_143,E21_349
17:37,63456,E21_144,E21_350
17:41,63696,E21_145,E21_351
17:45,63936,E21_146,E21_352
17:49,64176,E21_147,E21_353
17:53,64416,E21_148,E21_354
17:57,64656,E21_149,E21_355
18:01,64896,E21_150,E21_356
18:05,65136,E21_151,E21_357
18:09,65376,E21_152,E21_358
18:13,65616,E21_153,E21_359
18:17,65856,E21_154,E21_360
18:21,66096,E21_155,E21_361
18:25,66336,E21_156,E21_362
18:29,66576,E21_157,E21_363
18:33,66816,E21_158,E21_364
18:37,67056,E21_159,E21_365
18:41,67296,E21_160,E21_366
18:45,67536,E21_161,E21_367
18:49,67776,E21_162,E21_368
18:53,68016,E21_163,E21_369
18:57,68256,E21_164,E21_370
19:01,68496,E21_165,E21_371
19:08,68898,E21_166,E21_372
19:15,69300,E21_167,E21_373
19:21,69702,E21_168,E21_374
19:28,70104,E21_169,E21_375
19:35,70506,E21_170,E21_376
19:41,70908,E21_171,E21_377
19:48,71310,E21_172,E21_378
19:55,71712,E21_173,E21_379
20:01,72114,E21_174,E21_380
20:06,72408,E21_175,E21_381
20:11,72702,E21_176,E21_382
20:16,72996,E21_177,E21_383
20:21,73290,E21_178,E21_384
20:26,73584,E21_179,E21_385
20:31,73878,E21_180,E21_386
20:36,74172,E21_181,E21_387
20:41,74466,E21_182,E21_388
20:46,74760,E21_183,E21_389
20:50,75054,E21_184,E21_390
20:55,75348,E21_185,E21_391
21:00,75642,E21_186,E21_392
21:06,76002,E21_187,E21_393
21:12,76362,E21_188,E21_394
21:18,76722,E21_189,E21_395
21:24,77082,E21_190,E21_396
21:30,77442,E21_191,E21_397
21:36,77802,E21_192,E21_398
21:42,78162,E21_193,E21_399
21:48,78522,E21_194,E21_400
21:54,78882,E21_195,E21_401
22:00,79242,E21_196,E21_402
22:06,79602,E21_197,E21_403
22:12,79962,E21_198,E21_404
22:18,80322,E21_199,E21_405
22:24,80682,E21_200,E21_406
22:30,81042,E21_201,E21_407
22:36,81402,E21_202,E21_408
22:42,81762,E21_203,E21_409
22:48,82122,E21_204,E21_410
22:54,82482,E21_205,E21_411
23:00,82842,E21_206,E21_412
