Hora,Hora_mat,Veh_ida,Veh_regreso
05:00,18000,T31_1,T31_13
05:05,18300,T31_2,T31_14
05:10,18600,T31_3,T31_15
05:15,18900,T31_4,T31_16
05:20,19200,T31_5,T31_17
05:25,19500,T31_6,T31_18
05:30,19800,T31_7,T31_19
05:35,20100,T31_8,T31_20
05:40,20400,T31_9,T31_21
05:45,20700,T31_10,T31_22
05:50,21000,T31_11,T31_23
05:55,21300,T31_12,T31_24
06:00,21600,T31_13,T31_25
06:04,21879,T31_14,T31_1
06:09,22158,T31_15,T31_2
06:13,22437,T31_16,T31_3
06:18,22716,T31_17,T31_4
06:23,22995,T31_18,T31_5
06:27,23274,T31_19,T31_6
06:32,23553,T31_20,T31_7
06:37,23832,T31_21,T31_8
06:41,24111,T31_22,T31_9
06:46,24390,T31_23,T31_10
06:51,24669,T31_24,T31_11
06:55,24948,T31_25,T31_12
07:00,25227,T31_1,T31_13
07:05,25506,T31_2,T31_14
07:09,25785,T31_3,T31_15
07:14,26064,T31_4,T31_16
07:19,26343,T31_5,T31_17
07:23,26622,T31_6,T31_18
07:28,26901,T31_7,T31_19
07:33,27180,T31_8,T31_20
07:37,27459,T31_9,T31_21
07:42,27738,T31_10,T31_22
07:46,28017,T31_11,T31_23
07:51,28296,T31_12,T31_24
07:56,28575,T31_13,T31_25
08:00,28854,T31_14,T31_1
08:06,29160,T31_15,T31_2
08:11,29466,T31_16,T31_3
08:16,29772,T31_17,T31_4
08:21,30078,T31_18,T31_5
08:26,30384,T31_19,T31_6
08:31,30690,T31_20,T31_7
08:36,30996,T31_21,T31_8
08:41,31302,T31_22,T31_9
08:46,31608,T31_23,T31_10
08:51,31914,T31_24,T31_11
08:57,32220,T31_25,T31_12
09:02,32526,T31_1,T31_13
09:07,32841,T31_2,T31_14
09:12,33156,T31_3,T31_15
09:17,33471,T31_4,T31_16
09:23,33786,T31_5,T31_17
09:28,34101,T31_6,T31_18
09:33,34416,T31_7,T31_19
09:38,34731,T31_8,T31_20
09:44,35046,T31_9,T31_21
09:49,35361,T31_10,T31_22
09:54,35676,T31_11,T31_23
09:59,35991,T31_12,T31_24
10:05,36351,T31_13,T31_25
10:11,36711,T31_14,T31_1
10:17,37071,T31_15,T31_2
10:23,37431,T31_16,T31_3
10:29,37791,T31_17,T31_4
10:35,38151,T31_18,T31_5
10:41,38511,T31_19,T31_6
10:47,38871,T31_20,T31_7
10:53,39231,T31_21,T31_8
10:59,39591,T31_22,T31_9
11:05,39951,T31_23,T31_10
11:11,40311,T31_24,T31_11
11:17,40671,T31_25,T31_12
11:23,41031,T31_1,T31_13
11:29,41391,T31_2,T31_14
11:35,41751,T31_3,T31_15
11:41,42111,T31_4,T31_16
11:47,42471,T31_5,T31_17
11:53,42831,T31_6,T31_18
11:59,43191,T31_7,T31_19
12:05,43551,T31_8,T31_20
12:11,43911,T31_9,T31_21
12:17,44271,T31_10,T31_22
12:23,44631,T31_11,T31_23
12:29,44991,T31_12,T31_24
12:35,45351,T31_13,T31_25
12:41,45711,T31_14,T31_1
12:47,46071,T31_15,T31_2
12:53,46431,T31_16,T31_3
12:59,46791,T31_17,T31_4
13:05,47151,T31_18,T31_5
