ID,LINEA,SENTIDO,PUNTO_INI,INI_LONGITUDE,INI_LATITUDE,PUNTO_FIN,FIN_LONGITUDE,FIN_LATITUDE,CONCAT_SHT,LENGTH
1,A02,Ida,C9K15,-76.53318861,3.44231083,C9K12,-76.5332325,3.44472972,C9K15-C9K12,260
2,A02,Ida,C9K12,-76.5332325,3.44472972,C9K8,-76.53400056,3.44949056,C9K12-C9K8,508
3,A02,Ida,C9K8,-76.53400056,3.44949056,K4C9,-76.5348625,3.45110417,C9K8-K4C9,242
4,A02,Ida,K4C9,-76.5348625,3.45110417,K4C5,-76.53802944,3.44960139,K4C9-K4C5,351
5,A02,Ida,K4C5,-76.53802944,3.44960139,K3C1OE,-76.54140083,3.44969611,K4C5-K3C1OE,405
6,A02,Ida,K3C1OE,-76.54140083,3.44969611,K2C2OE,-76.54239944,3.45083889,K3C1OE-K2C2OE,220
7,A02,Ida,K2C2OE,-76.54239944,3.45083889,A4NC5,-76.54614361,3.45380278,K2C2OE-A4NC5,624
8,A02,Ida,A4NC5,-76.54614361,3.45380278,A4NC6,-76.54863861,3.45444972,A4NC5-A4NC6,338
9,A02,Ida,A4NC6,-76.54863861,3.45444972,C7OEAV1,-76.54957278,3.45327,A4NC6-C7OEAV1,222
10,A02,Ida,C7OEAV1,-76.54957278,3.45327,K1C9OE,-76.55072389,3.45201361,C7OEAV1-K1C9OE,310
11,A02,Ida,K1C9OE,-76.55072389,3.45201361,K1C11OE,-76.55344833,3.45068861,K1C9OE-K1C11OE,337
12,A02,Ida,K1C11OE,-76.55344833,3.45068861,K2OEC14,-76.55675944,3.447825,K1C11OE-K2OEC14,523
13,A02,Ida,K2OEC14,-76.55675944,3.447825,AV2OE,-76.55883028,3.44707056,K2OEC14-AV2OE,249
14,A02,Ida,AV2OE,-76.55883028,3.44707056,AV2OEC20,-76.56153583,3.44764917,AV2OE-AV2OEC20,311
15,A02,Ida,AV2OEC20,-76.56153583,3.44764917,AV2OEATE,-76.56373722,3.44793167,AV2OEC20-AV2OEATE,250
16,A02,Vuelta,AV2OEATE,-76.56373722,3.44793167,AV2OC201,-76.56176583,3.44761583,AV2OEATE-AV2OC201,426
17,A02,Vuelta,AV2OC201,-76.56176583,3.44761583,AV2OEBEL,-76.55918056,3.44703694,AV2OC201-AV2OEBEL,298
18,A02,Vuelta,AV2OEBEL,-76.55918056,3.44703694,K2OEC141,-76.55651,3.44791056,AV2OEBEL-K2OEC141,320
19,A02,Vuelta,K2OEC141,-76.55651,3.44791056,K2C13OE,-76.55392833,3.44956556,K2OEC141-K2C13OE,418
20,A02,Vuelta,K2C13OE,-76.55392833,3.44956556,K2C11OE,-76.55094111,3.45099,K2C13OE-K2C11OE,367
21,A02,Vuelta,K2C11OE,-76.55094111,3.45099,K2C8OE,-76.54887278,3.45178556,K2C11OE-K2C8OE,250
22,A02,Vuelta,K2C8OE,-76.54887278,3.45178556,C5OEK1A,-76.54669139,3.4530925,K2C8OE-C5OEK1A,554
23,A02,Vuelta,C5OEK1A,-76.54669139,3.4530925,K1C5OE,-76.54495556,3.45056472,C5OEK1A-K1C5OE,402
24,A02,Vuelta,K1C5OE,-76.54495556,3.45056472,A1K2,-76.54231306,3.45108306,K1C5OE-A1K2,302
