NAME,UV_CODES,METROCALI_CODES
Univalle,1,76001E023
Buitrera,2,76001E022
Meléndez,3,76001E021
Capri,4,76001E020
Caldas,5,76001E019
Refugio,6,76001E018
Pampalinda,7,76001E017
Plaza de Toros,8,76001E016
Lido,9,76001E014
Tequendama,10,76001E013
Estadio,11,76001E012
Manzana del Saber,12,76001E011
Santa Librada,13,76001E010
San Bosco,14,76001E009
San Pascual,15,76001E008
Belalcazar,16,76001E007
Floresta,17,76001E006
Atanasio Girardot,18,76001E005
Chapinero,19,76001E004
Villacolombia,20,76001E003
Trébol,21,76001E002
7 de Agosto,22,76001E001
Sucre,23,76001E037
Petecuy,24,76001E036
San Pedro,25,76001E035
Torre de Cali,26,76001E034
Fray Damián,27,76001E040
Centro,28,76001E039
La Ermita,29,76001E038
Río Cali,30,76001E032
San Nicolás,31,76001E033
Piloto,32,76001E031
Fátima,33,76001E030
Manzanares,34,76001E029
Popular,35,76001E028
Salomia,36,76001E027
Flora Industrial,37,76001E026
Chiminangos,38,76001E025
Universidades,39,76001E024
Unidad Deportiva,40,76001E015
Santa Rosa,41,76001E041
Plaza de Caicedo,42,76001E042
Versalles,43,76001E043
Las Américas,44,76001E044
Prados del Norte,45,76001E045
Vipasa,46,76001E046
Alamos,47,76001E047
Cien Palos,48,76001E048
Primitivo,49,76001E049
Santa Monica,50,76001E050
Villanueva,51,76001E051
Conquistadores,52,76001E052
Troncal Unida,53,76001E053
Amanecer,54,76001E054
Nuevo Latir,55,76001E055
Terminal Menga,56,76001E056
T.Cañaveralejo,57,76001E057
Terminal Andres Sanin,58,76001E058
