STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
4,PTP_SAL,Patio Taller Pizamos_Salida,-76.47622806,3.40383472
5,PPM_SAL,Puerto Mallarino,-76.47488111,3.43047250
6,PPM_ENT,Puerto Mallarino,-76.47488111,3.43047250
9,PVL-SAL,Patio Valle Lili,-76.51260778,3.35889750
10,PVL-ENT,Patio Valle Lili,-76.51249861,3.35891611
21,PCS-SAL,Patio Calima-Sameco Salida,-76.50469139,3.49699250
22,PCS-ENT,Patio Calima-Sameco Entrada,-76.50469139,3.49699250
41,PTP_ENT,Patio Taller Pizamos_Entrada,-76.47624833,3.40379389
500050,T.C-A1,T.Canaveralejo A1,-76.54962139,3.41476833
500051,T.C-A2,T.Canaveralejo A2,-76.54957278,3.41454278
500052,T.C-A3,T.Canaveralejo A3,-76.54936500,3.41441444
500053,T.C-A4,T.Canaveralejo A4,-76.54914250,3.41448667
500054,T.C-A5,T.Canaveralejo A5,-76.54909250,3.41466389
500055,T.C-A7,T.Canaveralejo A7,-76.54895250,3.41504694
500056,T.C-A6,T.Canaveralejo A6,-76.54900667,3.41486056
500058,T.C-A8,T.Canaveralejo A8,-76.54891333,3.41517861
500059,T.C-B2,T.Canaveralejo B2,-76.54916083,3.41477778
500060,T.C-A9,T.Canaveralejo A9,-76.54896611,3.41532500
500061,T.C-A10,T.Canaveralejo A10,-76.54908306,3.41536667
500062,T.C-A11,T.Canaveralejo A11,-76.54923083,3.41539444
500063,T.C-A12,T.Canaveralejo A12,-76.54937333,3.41530972
500100,TMENGA1,Terminal Menga C1,-76.50904167,3.48930667
500101,TMENGA2,Terminal Menga C2,-76.50893750,3.48910306
500102,TMENGA3,Terminal Menga C3,-76.50828000,3.48910667
500103,TMENGA4,Terminal Menga C4,-76.50791000,3.48890000
500104,TMENGA5,Terminal Menga B1,-76.50795833,3.48928833
500105,TMENGA6,Terminal Menga B2,-76.50823611,3.48930028
500106,TMENGA7,Terminal Menga B3,-76.50870667,3.48951500
500107,TMENGA8,Terminal Menga B4,-76.50890639,3.48945833
500108,TMENGA9,Terminal Menga A1,-76.50773806,3.48941528
500109,TMENGA10,Terminal Menga A2,-76.50791222,3.48947833
500110,TMENGA11,Terminal Menga A3,-76.50810750,3.48953639
500111,TMENGA12,Terminal Menga A4,-76.50827528,3.48956889
