id,entering,leaving,passthrough,totalVolume
39,142,0,0,142
1,207,13,129,336
2,177,106,230,407
3,58,60,347,405
4,38,28,377,415
5,29,81,334,362
6,177,87,276,452
7,56,99,353,408
8,85,36,373,458
40,234,46,412,645
9,154,94,551,705
10,150,145,560,710
11,46,79,631,677
12,268,217,460,728
13,171,282,446,617
14,395,118,499,895
15,10,274,621,630
23,39,20,610,649
24,123,63,586,709
25,914,256,453,1367
26,89,708,660,748
31,38,9,739,777
32,48,15,762,810
33,35,110,700,735
34,38,67,669,706
35,130,60,646,776
36,9,96,680,690
37,3,230,459,462
38,0,462,0,0
