id,entering,leaving,passthrough,totalVolume
38,66,0,0,66
37,28,1,65,93
36,26,6,87,114
35,57,5,109,166
34,87,27,138,226
33,149,15,210,359
30,42,18,341,383
26,523,135,248,771
29,612,212,559,1171
28,476,159,1012,1488
27,14,17,1471,1485
14,192,586,899,1091
13,226,241,849,1075
12,216,267,808,1024
11,190,250,774,964
10,48,166,798,846
9,109,127,720,829
40,118,88,742,860
8,48,115,744,792
7,51,92,700,751
6,83,281,470,553
5,63,96,458,521
4,81,73,447,529
3,12,200,328,341
2,12,85,256,267
1,20,84,184,204
39,0,204,0,0
