id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,684,0,0,684
BUITRERA,149,69,615,765
MELENDEZ,547,49,716,1262
CAPRI,255,55,1207,1462
CALDAS,411,51,1411,1822
PAMPALINDA,269,162,1660,1929
UND DEPORT,192,118,1810,2002
TEQUENDAMA,107,469,1533,1640
ESTADIO,57,322,1318,1375
SAN BOSCO,436,249,1126,1562
SAN PASCUA,50,101,1461,1511
PETECUY,52,303,1207,1259
T. CALI,347,326,933,1280
VERSALLES,7,261,1019,1026
AMERICAS,17,423,603,620
PRADOS,2,130,490,492
VIPASA,4,103,389,393
ALAMOS,0,196,197,197
TERMINAL MENGA,0,197,0,0
