id,entering,leaving,passthrough,totalVolume
TERMINAL MENGA,136,0,0,136
ALAMOS,182,1,135,317
VIPASA,98,3,314,412
PRADOS,90,4,408,498
AMERICAS,321,24,474,795
VERSALLES,150,23,772,922
T. CALI,289,305,617,906
CAICEDO,211,174,732,943
SAN BOSCO,133,286,657,789
ESTADIO,171,107,683,854
TEQUENDAMA,127,133,721,848
UND DEPORT,70,98,750,820
PLZ TOROS,0,0,820,820
PAMPALINDA,60,100,720,779
REFUGIO,0,0,779,779
CALDAS,30,147,632,662
CAPRI,19,83,579,598
MELENDEZ,35,135,463,499
BUITRERA,26,141,358,384
UNIVERSIDA,0,384,0,0
