id,entering,leaving,passthrough,totalVolume
CHIMINANGOS,282,0,0,282
FLORA IND,144,56,226,370
SALOMIA,69,46,324,393
POPULAR,61,26,368,428
MANZANARES,62,46,382,445
FATIMA,74,49,396,470
RIO CALI,8,32,438,446
T. CALI,763,61,385,1148
ERMITA,39,446,702,741
CENTRO,47,265,476,523
FRAY DAMIAN,19,7,516,535
SAN BOSCO,263,77,459,721
ST LIBRADA,277,221,500,777
MZ. SABER,156,234,543,699
ESTADIO,115,159,541,656
TEQUENDAMA,15,73,583,597
LIDO,55,165,432,487
UND DEPORT,74,47,440,514
PLZ TOROS,41,79,435,476
PAMPALINDA,36,44,432,467
REFUGIO,98,107,360,458
CALDAS,99,49,409,508
CAPRI,82,47,461,543
MELENDEZ,55,48,495,550
BUITRERA,7,119,431,438
UNIVALLE,9,205,233,242
UNIVERSIDA,0,242,0,0
