id,entering,leaving,passthrough,totalVolume
CHIMINANGOS,66,0,0,66
FLORA IND,28,1,65,93
SALOMIA,26,6,87,114
POPULAR,57,5,109,166
MANZANARES,87,27,138,226
FATIMA,149,15,210,359
RIO CALI,42,18,341,383
T. CALI,523,135,248,771
ERMITA,612,212,559,1171
CENTRO,476,159,1012,1488
FRAY DAMIAN,14,17,1471,1485
SAN BOSCO,192,586,899,1091
ST LIBRADA,226,241,849,1075
MZ. SABER,216,267,808,1024
ESTADIO,190,250,774,964
TEQUENDAMA,48,166,798,846
LIDO,109,127,720,829
UND DEPORT,118,88,742,860
PLZ TOROS,48,115,744,792
PAMPALINDA,51,92,700,751
REFUGIO,83,281,470,553
CALDAS,63,96,458,521
CAPRI,81,73,447,529
MELENDEZ,12,200,328,341
BUITRERA,12,85,256,267
UNIVALLE,20,84,184,204
UNIVERSIDA,0,204,0,0
