PRODUCTO,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,104,1,3643,UNIVERSIDA,CHIMINANGOS,39,38,YES,68040,0,YES,0
UNIVIAJE-II,104,1,3643,UNIVERSIDA,UNIVERSIDA,39,39,YES,72600,0,0,YES
UNIVIAJE-II,402,1,6384,MELENDEZ,UNIVERSIDA,3,39,YES,47160,0,YES,0
UNIVIAJE-II,402,1,6384,MELENDEZ,UNIVERSIDA,3,39,YES,51240,0,0,0
UNIVIAJE-II,402,1,6384,MELENDEZ,CHIMINANGOS,3,38,YES,54720,0,0,0
UNIVIAJE-II,402,1,6384,MELENDEZ,CHIMINANGOS,3,38,YES,58620,0,0,0
UNIVIAJE-II,402,1,6384,MELENDEZ,CHIMINANGOS,3,38,YES,63420,0,0,0
UNIVIAJE-II,402,1,6384,MELENDEZ,UNIVERSIDA,3,39,YES,70020,0,0,0
UNIVIAJE-II,402,1,6384,MELENDEZ,UNIVERSIDA,3,39,YES,79500,0,0,YES
UNIVIAJE-II,1203,1,10825,TEQUENDAMA,UNIVERSIDA,10,39,YES,55080,0,YES,0
UNIVIAJE-II,1203,1,10825,TEQUENDAMA,CHIMINANGOS,10,38,YES,64020,0,0,YES
UNIVIAJE-II,104,1,10834,UNIVERSIDA,ERMITA,39,29,YES,26580,0,YES,0
UNIVIAJE-II,104,1,10834,UNIVERSIDA,CHIMINANGOS,39,38,YES,31500,0,0,0
UNIVIAJE-II,104,1,10834,UNIVERSIDA,UNIVERSIDA,39,39,YES,42480,0,0,0
UNIVIAJE-II,104,1,10834,UNIVERSIDA,CHIMINANGOS,39,38,YES,51300,0,0,0
UNIVIAJE-II,104,1,10834,UNIVERSIDA,UNIVERSIDA,39,39,YES,58800,0,0,0
UNIVIAJE-II,104,1,10834,UNIVERSIDA,REFUGIO,39,6,YES,67500,0,0,YES
UNIVIAJE-II,1103,1,10853,LIDO,CHIMINANGOS,9,38,YES,34140,0,YES,0
UNIVIAJE-II,1103,1,10853,LIDO,UNIVERSIDA,9,39,YES,42060,0,0,0
UNIVIAJE-II,1101,1,10853,LIDO,CHIMINANGOS,9,38,YES,52500,0,0,0
UNIVIAJE-II,1103,1,10853,LIDO,UNIVERSIDA,9,39,YES,69600,0,0,YES
UNIVIAJE-II,4403,1,10869,VERSALLES,CAICEDO,43,42,YES,45960,0,YES,0
UNIVIAJE-II,4401,1,10869,VERSALLES,VERSALLES,43,43,YES,67560,0,0,0
UNIVIAJE-II,4403,1,10869,VERSALLES,UNIVERSIDA,43,39,YES,68820,0,0,YES
UNIVIAJE-II,4303,1,10873,AMERICAS,CHIMINANGOS,44,38,YES,56700,0,YES,0
UNIVIAJE-II,4303,1,10873,AMERICAS,CHIMINANGOS,44,38,YES,64860,0,0,YES
UNIVIAJE-II,1203,1,10886,TEQUENDAMA,UNIVERSIDA,10,39,YES,27900,0,YES,0
UNIVIAJE-II,1203,1,10886,TEQUENDAMA,CHIMINANGOS,10,38,YES,42480,0,0,YES
UNIVIAJE-II,402,1,10897,MELENDEZ,UNIVERSIDA,3,39,YES,24420,0,YES,0
UNIVIAJE-II,402,1,10897,MELENDEZ,UNIVERSIDA,3,39,YES,27000,0,0,0
UNIVIAJE-II,402,1,10897,MELENDEZ,UNIVERSIDA,3,39,YES,30420,0,0,YES
UNIVIAJE-II,504,1,10899,CAPRI,UNIVERSIDA,4,39,YES,26400,0,YES,0
UNIVIAJE-II,504,1,10899,CAPRI,CHIMINANGOS,4,38,YES,59820,0,0,0
UNIVIAJE-II,503,1,10899,CAPRI,CHIMINANGOS,4,38,YES,74100,0,0,YES
UNIVIAJE-II,1002,1,10905,UND DEPORT,MANZANARES,40,34,YES,38100,0,YES,0
UNIVIAJE-II,1002,1,10905,UND DEPORT,UNIVERSIDA,40,39,YES,56280,0,0,0
UNIVIAJE-II,1003,1,10905,UND DEPORT,CHIMINANGOS,40,38,YES,79860,0,0,YES
UNIVIAJE-II,4403,1,10913,VERSALLES,CAICEDO,43,42,YES,27780,0,YES,0
UNIVIAJE-II,4403,1,10913,VERSALLES,UND DEPORT,43,40,YES,63840,0,0,0
UNIVIAJE-II,4403,1,10913,VERSALLES,LIDO,43,9,YES,68640,0,0,YES
UNIVIAJE-II,3006,1,10921,CENTRO,FLORA IND,28,37,YES,59400,0,YES,0
UNIVIAJE-II,3006,1,10921,CENTRO,CHIMINANGOS,28,38,YES,66120,0,0,0
UNIVIAJE-II,3006,1,10921,CENTRO,FLORA IND,28,37,YES,71040,0,0,YES
UNIVIAJE-II,1103,1,10937,LIDO,SALOMIA,9,36,YES,37440,0,YES,0
UNIVIAJE-II,1103,1,10937,LIDO,CHIMINANGOS,9,38,YES,54780,0,0,0
UNIVIAJE-II,1103,1,10937,LIDO,CHIMINANGOS,9,38,YES,67320,0,0,YES
UNIVIAJE-II,504,1,10940,CAPRI,UNIVERSIDA,4,39,YES,23520,0,YES,0
UNIVIAJE-II,504,1,10940,CAPRI,UNIVERSIDA,4,39,YES,32880,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,UNIVERSIDA,4,39,YES,37740,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,CHIMINANGOS,4,38,YES,44160,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,PAMPALINDA,4,7,YES,45000,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,UNIVERSIDA,4,39,YES,53040,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,UNIVERSIDA,4,39,YES,56100,0,0,0
UNIVIAJE-II,504,1,10940,CAPRI,PAMPALINDA,4,7,YES,60300,0,0,YES
UNIVIAJE-II,504,1,10946,CAPRI,PAMPALINDA,4,7,YES,25920,0,YES,0
UNIVIAJE-II,504,1,10946,CAPRI,CALDAS,4,5,YES,28440,0,0,0
UNIVIAJE-II,504,1,10946,CAPRI,REFUGIO,4,6,YES,34080,0,0,0
UNIVIAJE-II,504,1,10946,CAPRI,REFUGIO,4,6,YES,59580,0,0,0
UNIVIAJE-II,503,1,10946,CAPRI,REFUGIO,4,6,YES,74100,0,0,YES
UNIVIAJE-II,3403,1,10952,FLORA IND,SAN NICOLA,37,31,YES,23460,0,YES,0
UNIVIAJE-II,3403,1,10952,FLORA IND,SAN NICOLA,37,31,YES,28560,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,RIO CALI,37,30,YES,41700,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,CHIMINANGOS,37,38,YES,58680,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,FLORA IND,37,37,YES,69660,0,0,YES
UNIVIAJE-II,302,1,10960,BUITRERA,CHIMINANGOS,2,38,YES,63000,0,YES,0
UNIVIAJE-II,302,1,10960,BUITRERA,CHIMINANGOS,2,38,YES,65100,0,0,YES
UNIVIAJE-II,1805,1,10963,SUCRE,CENTRO,23,28,YES,61080,0,YES,0
UNIVIAJE-II,1805,1,10963,SUCRE,CHIMINANGOS,23,38,YES,66060,0,0,YES
UNIVIAJE-II,104,1,10968,UNIVERSIDA,UNIVERSIDA,39,39,YES,43740,0,YES,0
UNIVIAJE-II,104,1,10968,UNIVERSIDA,CAPRI,39,4,YES,67260,0,0,0
UNIVIAJE-II,104,1,10968,UNIVERSIDA,UNIVERSIDA,39,39,YES,77820,0,0,YES
UNIVIAJE-II,803,1,10972,PAMPALINDA,UNIVERSIDA,7,39,YES,35160,0,YES,0
UNIVIAJE-II,801,1,10972,PAMPALINDA,CHIMINANGOS,7,38,YES,60360,0,0,YES
UNIVIAJE-II,1203,1,10973,TEQUENDAMA,PAMPALINDA,10,7,YES,41040,0,YES,0
UNIVIAJE-II,1203,1,10973,TEQUENDAMA,CHIMINANGOS,10,38,YES,44820,0,0,YES
UNIVIAJE-II,3006,1,10980,CENTRO,REFUGIO,28,6,YES,58200,0,YES,0
