PRODUCTO,INTEGRACION,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,,104,1,3643,UNIVERSIDA,0,39,0,YES,68040,0,YES,0
UNIVIAJE-II,,104,1,3643,UNIVERSIDA,0,39,0,YES,72600,0,0,YES
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,47160,0,YES,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,51240,0,0,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,54720,0,0,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,58620,0,0,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,63420,0,0,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,70020,0,0,0
UNIVIAJE-II,,402,1,6384,MELENDEZ,0,3,0,YES,79500,0,0,YES
UNIVIAJE-II,,1203,1,10825,TEQUENDAMA,0,10,0,YES,55080,0,YES,0
UNIVIAJE-II,,1203,1,10825,TEQUENDAMA,0,10,0,YES,64020,0,0,YES
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,26580,0,YES,0
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,31500,0,0,0
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,42480,0,0,0
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,51300,0,0,0
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,58800,0,0,0
UNIVIAJE-II,,104,1,10834,UNIVERSIDA,0,39,0,YES,67500,0,0,YES
UNIVIAJE-II,,1103,1,10853,LIDO,0,9,0,YES,34140,0,YES,0
UNIVIAJE-II,,1103,1,10853,LIDO,0,9,0,YES,42060,0,0,0
UNIVIAJE-II,,1101,1,10853,LIDO,0,9,0,YES,52500,0,0,0
UNIVIAJE-II,,1103,1,10853,LIDO,0,9,0,YES,69600,0,0,YES
UNIVIAJE-II,,4403,1,10869,VERSALLES,0,43,0,YES,45960,0,YES,0
UNIVIAJE-II,,4401,1,10869,VERSALLES,0,43,0,YES,67560,0,0,0
UNIVIAJE-II,,4403,1,10869,VERSALLES,0,43,0,YES,68820,0,0,YES
UNIVIAJE-II,,4303,1,10873,AMERICAS,0,44,0,YES,56700,0,YES,0
UNIVIAJE-II,,4303,1,10873,AMERICAS,0,44,0,YES,64860,0,0,YES
UNIVIAJE-II,,1203,1,10886,TEQUENDAMA,0,10,0,YES,27900,0,YES,0
UNIVIAJE-II,,1203,1,10886,TEQUENDAMA,0,10,0,YES,42480,0,0,YES
UNIVIAJE-II,,402,1,10897,MELENDEZ,0,3,0,YES,24420,0,YES,0
UNIVIAJE-II,,402,1,10897,MELENDEZ,0,3,0,YES,27000,0,0,0
UNIVIAJE-II,,402,1,10897,MELENDEZ,0,3,0,YES,30420,0,0,YES
UNIVIAJE-II,,504,1,10899,CAPRI,0,4,0,YES,26400,0,YES,0
UNIVIAJE-II,,504,1,10899,CAPRI,0,4,0,YES,59820,0,0,0
UNIVIAJE-II,,503,1,10899,CAPRI,0,4,0,YES,74100,0,0,YES
UNIVIAJE-II,,1002,1,10905,UND DEPORT,0,40,0,YES,38100,0,YES,0
UNIVIAJE-II,,1002,1,10905,UND DEPORT,0,40,0,YES,56280,0,0,0
UNIVIAJE-II,,1003,1,10905,UND DEPORT,0,40,0,YES,79860,0,0,YES
UNIVIAJE-II,,4403,1,10913,VERSALLES,0,43,0,YES,27780,0,YES,0
UNIVIAJE-II,,4403,1,10913,VERSALLES,0,43,0,YES,63840,0,0,0
UNIVIAJE-II,,4403,1,10913,VERSALLES,0,43,0,YES,68640,0,0,YES
UNIVIAJE-II,,3006,1,10921,CENTRO,0,28,0,YES,59400,0,YES,0
UNIVIAJE-II,,3006,1,10921,CENTRO,0,28,0,YES,66120,0,0,0
UNIVIAJE-II,,3006,1,10921,CENTRO,0,28,0,YES,71040,0,0,YES
UNIVIAJE-II,,1103,1,10937,LIDO,0,9,0,YES,37440,0,YES,0
UNIVIAJE-II,,1103,1,10937,LIDO,0,9,0,YES,54780,0,0,0
UNIVIAJE-II,,1103,1,10937,LIDO,0,9,0,YES,67320,0,0,YES
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,23520,0,YES,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,32880,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,37740,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,44160,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,45000,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,53040,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,56100,0,0,0
UNIVIAJE-II,,504,1,10940,CAPRI,0,4,0,YES,60300,0,0,YES
UNIVIAJE-II,,504,1,10946,CAPRI,0,4,0,YES,25920,0,YES,0
UNIVIAJE-II,,504,1,10946,CAPRI,0,4,0,YES,28440,0,0,0
UNIVIAJE-II,,504,1,10946,CAPRI,0,4,0,YES,34080,0,0,0
UNIVIAJE-II,,504,1,10946,CAPRI,0,4,0,YES,59580,0,0,0
UNIVIAJE-II,,503,1,10946,CAPRI,0,4,0,YES,74100,0,0,YES
UNIVIAJE-II,,3403,1,10952,FLORA IND,0,37,0,YES,23460,0,YES,0
UNIVIAJE-II,,3403,1,10952,FLORA IND,0,37,0,YES,28560,0,0,0
UNIVIAJE-II,,3403,1,10952,FLORA IND,0,37,0,YES,41700,0,0,0
UNIVIAJE-II,,3403,1,10952,FLORA IND,0,37,0,YES,58680,0,0,0
UNIVIAJE-II,,3403,1,10952,FLORA IND,0,37,0,YES,69660,0,0,YES
UNIVIAJE-II,,302,1,10960,BUITRERA,0,2,0,YES,63000,0,YES,0
UNIVIAJE-II,,302,1,10960,BUITRERA,0,2,0,YES,65100,0,0,YES
UNIVIAJE-II,,1805,1,10963,SUCRE,0,23,0,YES,61080,0,YES,0
UNIVIAJE-II,,1805,1,10963,SUCRE,0,23,0,YES,66060,0,0,YES
UNIVIAJE-II,,104,1,10968,UNIVERSIDA,0,39,0,YES,43740,0,YES,0
UNIVIAJE-II,,104,1,10968,UNIVERSIDA,0,39,0,YES,67260,0,0,0
UNIVIAJE-II,,104,1,10968,UNIVERSIDA,0,39,0,YES,77820,0,0,YES
UNIVIAJE-II,,803,1,10972,PAMPALINDA,0,7,0,YES,35160,0,YES,0
UNIVIAJE-II,,801,1,10972,PAMPALINDA,0,7,0,YES,60360,0,0,YES
UNIVIAJE-II,,1203,1,10973,TEQUENDAMA,0,10,0,YES,41040,0,YES,0
UNIVIAJE-II,,1203,1,10973,TEQUENDAMA,0,10,0,YES,44820,0,0,YES
UNIVIAJE-II,,3006,1,10980,CENTRO,0,28,0,YES,58200,0,YES,0
UNIVIAJE-II,,3006,1,10980,CENTRO,0,28,0,YES,64560,0,0,YES
UNIVIAJE-II,,1303,1,10993,ESTADIO,0,11,0,YES,75600,0,YES,0
UNIVIAJE-II,,1302,1,10993,ESTADIO,0,11,0,YES,80460,0,0,YES
UNIVIAJE-II,,6103,1,11018,TERMINAL MENGA,0,56,0,YES,23460,0,YES,0
UNIVIAJE-II,,6104,1,11018,TERMINAL MENGA,0,56,0,YES,29040,0,0,0
UNIVIAJE-II,,6103,1,11018,TERMINAL MENGA,0,56,0,YES,72660,0,0,0
UNIVIAJE-II,,6104,1,11018,TERMINAL MENGA,0,56,0,YES,77580,0,0,YES
UNIVIAJE-II,,3202,1,11025,ERMITA,0,29,0,YES,36900,0,YES,0
UNIVIAJE-II,,3202,1,11025,ERMITA,0,29,0,YES,65640,0,0,YES
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,24960,0,YES,0
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,31680,0,0,0
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,35160,0,0,0
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,37560,0,0,0
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,39780,0,0,0
UNIVIAJE-II,,104,1,11038,UNIVERSIDA,0,39,0,YES,48600,0,0,0
UNIVIAJE-II,,3001,1,11038,CENTRO,0,28,0,YES,68100,0,0,YES
UNIVIAJE-II,,1203,1,11040,TEQUENDAMA,0,10,0,YES,29820,0,YES,0
UNIVIAJE-II,,1202,1,11040,TEQUENDAMA,0,10,0,YES,44520,0,0,YES
UNIVIAJE-II,,4103,1,11051,SAN NICOLA,0,31,0,YES,28020,0,YES,0
UNIVIAJE-II,,4103,1,11051,SAN NICOLA,0,31,0,YES,43080,0,0,0
UNIVIAJE-II,,4103,1,11051,SAN NICOLA,0,31,0,YES,59460,0,0,0
UNIVIAJE-II,,4103,1,11051,SAN NICOLA,0,31,0,YES,65760,0,0,YES
UNIVIAJE-II,,4403,1,11094,VERSALLES,0,43,0,YES,44640,0,YES,0
UNIVIAJE-II,,4403,1,11094,VERSALLES,0,43,0,YES,58860,0,0,0
UNIVIAJE-II,,4403,1,11094,VERSALLES,0,43,0,YES,74460,0,0,YES
UNIVIAJE-II,,1103,1,11096,LIDO,0,9,0,YES,39480,0,YES,0
UNIVIAJE-II,,1101,1,11096,LIDO,0,9,0,YES,54900,0,0,0
UNIVIAJE-II,,1103,1,11096,LIDO,0,9,0,YES,71100,0,0,YES
UNIVIAJE-II,,1503,1,11102,ST LIBRADA,0,13,0,YES,18120,0,YES,0
UNIVIAJE-II,,1503,1,11102,ST LIBRADA,0,13,0,YES,68340,0,0,YES
UNIVIAJE-II,,1002,1,11114,UND DEPORT,0,40,0,YES,43080,0,YES,0
UNIVIAJE-II,,1002,1,11114,UND DEPORT,0,40,0,YES,60720,0,0,0
UNIVIAJE-II,,1003,1,11114,UND DEPORT,0,40,0,YES,78540,0,0,YES
UNIVIAJE-II,,1303,1,11121,ESTADIO,0,11,0,YES,47820,0,YES,0
UNIVIAJE-II,,1302,1,11121,ESTADIO,0,11,0,YES,57840,0,0,0
UNIVIAJE-II,,1302,1,11121,ESTADIO,0,11,0,YES,63300,0,0,YES
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,24600,0,YES,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,31740,0,0,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,35340,0,0,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,44520,0,0,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,57060,0,0,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,66780,0,0,0
UNIVIAJE-II,,104,1,11123,UNIVERSIDA,0,39,0,YES,77820,0,0,YES
UNIVIAJE-II,,1603,1,11142,SAN BOSCO,0,14,0,YES,19980,0,YES,0
UNIVIAJE-II,,1603,1,11142,SAN BOSCO,0,14,0,YES,29580,0,0,0
UNIVIAJE-II,,1601,1,11142,SAN BOSCO,0,14,0,YES,41100,0,0,0
UNIVIAJE-II,,1601,1,11142,SAN BOSCO,0,14,0,YES,53400,0,0,0
UNIVIAJE-II,,1601,1,11142,SAN BOSCO,0,14,0,YES,62220,0,0,0
UNIVIAJE-II,,1601,1,11142,SAN BOSCO,0,14,0,YES,79560,0,0,YES
UNIVIAJE-II,,3603,1,11147,POPULAR,0,35,0,YES,24060,0,YES,0
UNIVIAJE-II,,3603,1,11147,POPULAR,0,35,0,YES,36120,0,0,0
UNIVIAJE-II,,3603,1,11147,POPULAR,0,35,0,YES,40740,0,0,0
UNIVIAJE-II,,3603,1,11147,POPULAR,0,35,0,YES,62280,0,0,YES
UNIVIAJE-II,,1203,1,11156,TEQUENDAMA,0,10,0,YES,49500,0,YES,0
UNIVIAJE-II,,1202,1,11156,TEQUENDAMA,0,10,0,YES,76200,0,0,YES
UNIVIAJE-II,,3002,1,11162,CENTRO,0,28,0,YES,42180,0,YES,0
UNIVIAJE-II,,3001,1,11162,CENTRO,0,28,0,YES,52800,0,0,YES
UNIVIAJE-II,,4103,1,11186,SAN NICOLA,0,31,0,YES,57360,0,YES,0
UNIVIAJE-II,,4103,1,11186,SAN NICOLA,0,31,0,YES,65520,0,0,YES
UNIVIAJE-II,,3403,1,11210,FLORA IND,0,37,0,YES,33000,0,YES,0
UNIVIAJE-II,,3403,1,11210,FLORA IND,0,37,0,YES,50340,0,0,0
UNIVIAJE-II,,3403,1,11210,FLORA IND,0,37,0,YES,59520,0,0,0
UNIVIAJE-II,,3403,1,11210,FLORA IND,0,37,0,YES,70620,0,0,YES
UNIVIAJE-II,,1904,1,11214,PETECUY,0,24,0,YES,34140,0,YES,0
UNIVIAJE-II,,1904,1,11214,PETECUY,0,24,0,YES,64380,0,0,YES
UNIVIAJE-II,,4401,1,14293,VERSALLES,0,43,0,YES,42120,0,YES,0
UNIVIAJE-II,,4403,1,14293,VERSALLES,0,43,0,YES,48180,0,0,YES
UNIVIAJE-II,,701,1,14294,REFUGIO,0,6,0,YES,24420,0,YES,0
UNIVIAJE-II,,701,1,14294,REFUGIO,0,6,0,YES,35700,0,0,0
UNIVIAJE-II,,701,1,14294,REFUGIO,0,6,0,YES,56520,0,0,0
UNIVIAJE-II,,701,1,14294,REFUGIO,0,6,0,YES,63780,0,0,0
UNIVIAJE-II,,701,1,14294,REFUGIO,0,6,0,YES,67860,0,0,YES
UNIVIAJE-II,,1103,1,14295,LIDO,0,9,0,YES,37260,0,YES,0
UNIVIAJE-II,,1101,1,14295,LIDO,0,9,0,YES,40920,0,0,0
UNIVIAJE-II,,1103,1,14295,LIDO,0,9,0,YES,59880,0,0,YES
UNIVIAJE-II,,104,1,14320,UNIVERSIDA,0,39,0,YES,21840,0,YES,0
UNIVIAJE-II,,104,1,14320,UNIVERSIDA,0,39,0,YES,29160,0,0,0
UNIVIAJE-II,,104,1,14320,UNIVERSIDA,0,39,0,YES,47460,0,0,YES
UNIVIAJE-II,,1202,1,14393,TEQUENDAMA,0,10,0,YES,29400,0,YES,0
UNIVIAJE-II,,1202,1,14393,TEQUENDAMA,0,10,0,YES,61140,0,0,YES
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,32640,0,YES,0
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,36540,0,0,0
