ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
1,UNIVALLE,1,UNIVALLE,9
1,UNIVALLE,2,BUITRERA,1
1,UNIVALLE,3,MELENDEZ,6
1,UNIVALLE,4,CAPRI,2
1,UNIVALLE,5,CALDAS,13
1,UNIVALLE,6,REFUGIO,8
1,UNIVALLE,7,PAMPALINDA,5
1,UNIVALLE,8,PLZ TOROS,1
1,UNIVALLE,9,LIDO,5
1,UNIVALLE,10,TEQUENDAMA,16
1,UNIVALLE,11,ESTADIO,21
1,UNIVALLE,12,MZ. SABER,13
1,UNIVALLE,13,ST LIBRADA,16
1,UNIVALLE,14,SAN BOSCO,7
1,UNIVALLE,15,SAN PASCUA,1
1,UNIVALLE,23,SUCRE,2
1,UNIVALLE,24,PETECUY,1
1,UNIVALLE,25,SAN PEDRO,0
1,UNIVALLE,26,T. CALI,4
1,UNIVALLE,27,FRAY DAMIAN,0
1,UNIVALLE,28,CENTRO,3
1,UNIVALLE,29,ERMITA,0
1,UNIVALLE,30,RIO CALI,0
1,UNIVALLE,31,SAN NICOLA,0
1,UNIVALLE,32,PILOTO,0
1,UNIVALLE,33,FATIMA,2
1,UNIVALLE,34,MANZANARES,3
1,UNIVALLE,35,POPULAR,3
1,UNIVALLE,36,SALOMIA,7
1,UNIVALLE,37,FLORA IND,10
1,UNIVALLE,38,CHIMINANGOS,31
1,UNIVALLE,39,UNIVERSIDA,20
1,UNIVALLE,40,UND DEPORT,3
1,UNIVALLE,42,CAICEDO,2
1,UNIVALLE,43,VERSALLES,0
1,UNIVALLE,44,AMERICAS,5
1,UNIVALLE,45,PRADOS,4
1,UNIVALLE,46,VIPASA,2
1,UNIVALLE,47,ALAMOS,5
1,UNIVALLE,56,TERMINAL MENGA,5
2,BUITRERA,1,UNIVALLE,2
2,BUITRERA,2,BUITRERA,55
2,BUITRERA,3,MELENDEZ,15
2,BUITRERA,4,CAPRI,23
2,BUITRERA,5,CALDAS,45
2,BUITRERA,6,REFUGIO,25
2,BUITRERA,7,PAMPALINDA,47
2,BUITRERA,8,PLZ TOROS,7
2,BUITRERA,9,LIDO,19
2,BUITRERA,10,TEQUENDAMA,44
2,BUITRERA,11,ESTADIO,88
2,BUITRERA,12,MZ. SABER,23
2,BUITRERA,13,ST LIBRADA,43
2,BUITRERA,14,SAN BOSCO,34
2,BUITRERA,15,SAN PASCUA,1
2,BUITRERA,23,SUCRE,0
2,BUITRERA,24,PETECUY,2
2,BUITRERA,25,SAN PEDRO,5
2,BUITRERA,26,T. CALI,14
2,BUITRERA,27,FRAY DAMIAN,0
2,BUITRERA,28,CENTRO,15
2,BUITRERA,29,ERMITA,10
2,BUITRERA,30,RIO CALI,1
2,BUITRERA,31,SAN NICOLA,0
2,BUITRERA,32,PILOTO,0
2,BUITRERA,33,FATIMA,1
2,BUITRERA,34,MANZANARES,3
2,BUITRERA,35,POPULAR,14
2,BUITRERA,36,SALOMIA,14
2,BUITRERA,37,FLORA IND,40
2,BUITRERA,38,CHIMINANGOS,74
2,BUITRERA,39,UNIVERSIDA,120
2,BUITRERA,40,UND DEPORT,26
2,BUITRERA,42,CAICEDO,4
2,BUITRERA,43,VERSALLES,7
2,BUITRERA,44,AMERICAS,17
2,BUITRERA,45,PRADOS,6
2,BUITRERA,46,VIPASA,15
2,BUITRERA,47,ALAMOS,16
2,BUITRERA,56,TERMINAL MENGA,17
3,MELENDEZ,1,UNIVALLE,4
3,MELENDEZ,2,BUITRERA,8
3,MELENDEZ,3,MELENDEZ,53
3,MELENDEZ,4,CAPRI,7
3,MELENDEZ,5,CALDAS,17
3,MELENDEZ,6,REFUGIO,7
3,MELENDEZ,7,PAMPALINDA,17
3,MELENDEZ,8,PLZ TOROS,3
3,MELENDEZ,9,LIDO,4
3,MELENDEZ,10,TEQUENDAMA,17
3,MELENDEZ,11,ESTADIO,43
3,MELENDEZ,12,MZ. SABER,16
3,MELENDEZ,13,ST LIBRADA,18
3,MELENDEZ,14,SAN BOSCO,16
3,MELENDEZ,15,SAN PASCUA,2
3,MELENDEZ,23,SUCRE,0
3,MELENDEZ,24,PETECUY,1
3,MELENDEZ,25,SAN PEDRO,3
3,MELENDEZ,26,T. CALI,5
3,MELENDEZ,27,FRAY DAMIAN,0
3,MELENDEZ,28,CENTRO,6
3,MELENDEZ,29,ERMITA,3
3,MELENDEZ,30,RIO CALI,0
3,MELENDEZ,31,SAN NICOLA,0
3,MELENDEZ,32,PILOTO,2
3,MELENDEZ,33,FATIMA,2
3,MELENDEZ,34,MANZANARES,1
3,MELENDEZ,35,POPULAR,0
3,MELENDEZ,36,SALOMIA,6
3,MELENDEZ,37,FLORA IND,14
3,MELENDEZ,38,CHIMINANGOS,25
3,MELENDEZ,39,UNIVERSIDA,49
3,MELENDEZ,40,UND DEPORT,17
3,MELENDEZ,42,CAICEDO,3
3,MELENDEZ,43,VERSALLES,6
3,MELENDEZ,44,AMERICAS,8
3,MELENDEZ,45,PRADOS,1
3,MELENDEZ,46,VIPASA,2
3,MELENDEZ,47,ALAMOS,5
3,MELENDEZ,56,TERMINAL MENGA,4
4,CAPRI,1,UNIVALLE,0
4,CAPRI,2,BUITRERA,24
4,CAPRI,3,MELENDEZ,9
4,CAPRI,4,CAPRI,36
4,CAPRI,5,CALDAS,6
4,CAPRI,6,REFUGIO,10
4,CAPRI,7,PAMPALINDA,24
4,CAPRI,8,PLZ TOROS,4
4,CAPRI,9,LIDO,5
4,CAPRI,10,TEQUENDAMA,19
4,CAPRI,11,ESTADIO,23
4,CAPRI,12,MZ. SABER,11
4,CAPRI,13,ST LIBRADA,12
4,CAPRI,14,SAN BOSCO,9
4,CAPRI,15,SAN PASCUA,3
4,CAPRI,23,SUCRE,0
4,CAPRI,24,PETECUY,1
4,CAPRI,25,SAN PEDRO,4
4,CAPRI,26,T. CALI,3
4,CAPRI,27,FRAY DAMIAN,0
4,CAPRI,28,CENTRO,2
4,CAPRI,29,ERMITA,6
4,CAPRI,30,RIO CALI,0
4,CAPRI,31,SAN NICOLA,0
4,CAPRI,32,PILOTO,0
4,CAPRI,33,FATIMA,0
4,CAPRI,34,MANZANARES,3
4,CAPRI,35,POPULAR,8
4,CAPRI,36,SALOMIA,7
4,CAPRI,37,FLORA IND,15
4,CAPRI,38,CHIMINANGOS,25
4,CAPRI,39,UNIVERSIDA,62
4,CAPRI,40,UND DEPORT,17
4,CAPRI,42,CAICEDO,1
4,CAPRI,43,VERSALLES,2
4,CAPRI,44,AMERICAS,4
4,CAPRI,45,PRADOS,3
4,CAPRI,46,VIPASA,5
4,CAPRI,47,ALAMOS,13
4,CAPRI,56,TERMINAL MENGA,8
5,CALDAS,1,UNIVALLE,6
5,CALDAS,2,BUITRERA,16
5,CALDAS,3,MELENDEZ,17
5,CALDAS,4,CAPRI,8
5,CALDAS,5,CALDAS,31
5,CALDAS,6,REFUGIO,1
5,CALDAS,7,PAMPALINDA,12
5,CALDAS,8,PLZ TOROS,3
5,CALDAS,9,LIDO,0
5,CALDAS,10,TEQUENDAMA,14
5,CALDAS,11,ESTADIO,16
5,CALDAS,12,MZ. SABER,6
5,CALDAS,13,ST LIBRADA,12
5,CALDAS,14,SAN BOSCO,12
5,CALDAS,15,SAN PASCUA,4
5,CALDAS,23,SUCRE,0
5,CALDAS,24,PETECUY,5
5,CALDAS,25,SAN PEDRO,1
5,CALDAS,26,T. CALI,3
5,CALDAS,27,FRAY DAMIAN,0
5,CALDAS,28,CENTRO,5
5,CALDAS,29,ERMITA,3
5,CALDAS,30,RIO CALI,0
5,CALDAS,31,SAN NICOLA,0
