ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
1,UNIVALLE,1,UNIVALLE,45
1,UNIVALLE,2,BUITRERA,9
1,UNIVALLE,3,MELENDEZ,18
1,UNIVALLE,4,CAPRI,22
1,UNIVALLE,5,CALDAS,44
1,UNIVALLE,6,REFUGIO,26
1,UNIVALLE,7,PAMPALINDA,41
1,UNIVALLE,8,PLZ TOROS,9
1,UNIVALLE,9,LIDO,26
1,UNIVALLE,10,TEQUENDAMA,48
1,UNIVALLE,11,ESTADIO,90
1,UNIVALLE,12,MZ. SABER,46
1,UNIVALLE,13,ST LIBRADA,50
1,UNIVALLE,14,SAN BOSCO,31
1,UNIVALLE,15,SAN PASCUA,3
1,UNIVALLE,23,SUCRE,2
1,UNIVALLE,24,PETECUY,5
1,UNIVALLE,25,SAN PEDRO,10
1,UNIVALLE,26,T. CALI,9
1,UNIVALLE,27,FRAY DAMIAN,0
1,UNIVALLE,28,CENTRO,11
1,UNIVALLE,29,ERMITA,10
1,UNIVALLE,30,RIO CALI,0
1,UNIVALLE,31,SAN NICOLA,0
1,UNIVALLE,32,PILOTO,1
1,UNIVALLE,33,FATIMA,5
1,UNIVALLE,34,MANZANARES,6
1,UNIVALLE,35,POPULAR,7
1,UNIVALLE,36,SALOMIA,24
1,UNIVALLE,37,FLORA IND,29
1,UNIVALLE,38,CHIMINANGOS,75
1,UNIVALLE,39,UNIVERSIDA,94
1,UNIVALLE,40,UND DEPORT,13
1,UNIVALLE,42,CAICEDO,14
1,UNIVALLE,43,VERSALLES,11
1,UNIVALLE,44,AMERICAS,27
1,UNIVALLE,45,PRADOS,11
1,UNIVALLE,46,VIPASA,14
1,UNIVALLE,47,ALAMOS,17
1,UNIVALLE,56,TERMINAL MENGA,13
2,BUITRERA,1,UNIVALLE,7
2,BUITRERA,2,BUITRERA,264
2,BUITRERA,3,MELENDEZ,78
2,BUITRERA,4,CAPRI,159
2,BUITRERA,5,CALDAS,183
2,BUITRERA,6,REFUGIO,93
2,BUITRERA,7,PAMPALINDA,177
2,BUITRERA,8,PLZ TOROS,35
2,BUITRERA,9,LIDO,70
2,BUITRERA,10,TEQUENDAMA,237
2,BUITRERA,11,ESTADIO,298
2,BUITRERA,12,MZ. SABER,93
2,BUITRERA,13,ST LIBRADA,138
2,BUITRERA,14,SAN BOSCO,114
2,BUITRERA,15,SAN PASCUA,25
2,BUITRERA,23,SUCRE,1
2,BUITRERA,24,PETECUY,24
2,BUITRERA,25,SAN PEDRO,47
2,BUITRERA,26,T. CALI,80
2,BUITRERA,27,FRAY DAMIAN,2
2,BUITRERA,28,CENTRO,82
2,BUITRERA,29,ERMITA,78
2,BUITRERA,30,RIO CALI,5
2,BUITRERA,31,SAN NICOLA,3
2,BUITRERA,32,PILOTO,4
2,BUITRERA,33,FATIMA,14
2,BUITRERA,34,MANZANARES,12
2,BUITRERA,35,POPULAR,34
