pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44749	965	10	0	0	0	0	0	0	0	0	0	0
h---w	13606	149	7	1	0	0	0	0	0	0	0	0	0
pt interaction---h	44208	1405	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17047	36469	30926	17003	6375	1589	360	264	246	110	42	19	6
pt interaction---w	50230	5268	0	0	0	0	0	0	0	0	0	0	0
w---h	13647	199	8	5	1	0	1	0	1	0	0	0	0
w---pt interaction	52633	2736	20	0	0	0	0	0	0	0	0	0	0
w---w	19495	68	13	3	0	2	1	0	0	1	0	0	0

average trip duration: 246.10558006935491 seconds = 00:04:06
