pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	1	2	0	0	0	0	0	1	0	0	0
h---pt interaction	165194	15273	7	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	6	0	0	0	0	0	0	0	0	0	0
pt interaction---h	118282	939	1	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	22407	31992	26517	23441	20560	8651	2551	1544	1316	1294	1177	1163	28867
pt interaction---w	37417	4491	0	0	0	0	0	0	0	0	0	0	0
w---h	3849	148	4	5	0	0	0	0	1	0	0	0	0
w---pt interaction	39721	2156	19	0	0	0	0	0	0	0	0	0	0
w---w	802	40	2	0	0	0	0	0	0	0	0	0	0

average trip duration: 1050.171054994665 seconds = 00:17:30
