Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:56:21	16:56:21	16:56:21			16:56:21	16:56:21	16:56:23	16:56:23	16:56:23	16:56:35	16:56:35	16:56:35	16:56:35	16:56:35	16:56:35			16:56:36	16:56:36		00:00:00		00:00:02	00:00:02	00:00:11	00:00:00	00:00:00		00:00:01	00:00:15
1	16:56:37	16:56:37	16:56:37	16:56:37	16:56:38	16:56:38	16:56:38	16:56:40	16:56:40	16:56:40	16:56:47	16:56:47	16:56:47	16:56:47	16:56:47	16:56:47			16:56:48	16:56:48		00:00:00	00:00:00	00:00:02	00:00:02	00:00:06	00:00:00	00:00:00		00:00:00	00:00:10
2	16:56:48	16:56:48	16:56:48	16:56:48	16:56:49	16:56:49	16:56:49	16:56:52	16:56:52	16:56:52	16:56:58	16:56:58	16:56:58	16:56:58	16:56:58	16:56:58			16:57:00	16:57:00		00:00:00	00:00:00	00:00:02	00:00:03	00:00:06	00:00:00	00:00:00		00:00:01	00:00:11
3	16:57:00	16:57:00	16:57:00	16:57:00	16:57:00	16:57:00	16:57:00	16:57:03	16:57:03	16:57:03	16:57:10	16:57:10	16:57:10	16:57:10	16:57:10	16:57:10			16:57:11	16:57:11		00:00:00	00:00:00	00:00:03	00:00:03	00:00:06	00:00:00	00:00:00		00:00:00	00:00:11
4	16:57:11	16:57:11	16:57:11	16:57:11	16:57:11	16:57:11	16:57:11	16:57:15	16:57:15	16:57:15	16:57:22	16:57:22	16:57:22	16:57:22	16:57:22	16:57:22			16:57:23	16:57:23		00:00:00	00:00:00	00:00:04	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
5	16:57:23	16:57:23	16:57:23	16:57:23	16:57:23	16:57:23	16:57:23	16:57:28	16:57:28	16:57:28	16:57:35	16:57:35	16:57:35	16:57:35	16:57:35	16:57:35			16:57:35	16:57:35		00:00:00	00:00:00	00:00:04	00:00:04	00:00:07	00:00:00	00:00:00		00:00:00	00:00:12
6	16:57:36	16:57:36	16:57:36	16:57:36	16:57:36	16:57:36	16:57:36	16:57:40	16:57:40	16:57:40	16:57:48	16:57:48	16:57:48	16:57:48	16:57:48	16:57:48			16:57:48	16:57:48		00:00:00	00:00:00	00:00:04	00:00:04	00:00:07	00:00:00	00:00:00		00:00:00	00:00:12
7	16:57:49	16:57:49	16:57:49	16:57:49	16:57:49	16:57:49	16:57:49	16:57:54	16:57:54	16:57:54	16:58:00	16:58:00	16:58:00	16:58:00	16:58:01	16:58:01			16:58:01	16:58:01		00:00:00	00:00:00	00:00:04	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
8	16:58:01	16:58:01	16:58:01	16:58:01	16:58:02	16:58:02	16:58:02	16:58:07	16:58:07	16:58:07	16:58:14	16:58:14	16:58:14	16:58:14	16:58:14	16:58:14			16:58:14	16:58:14		00:00:00	00:00:00	00:00:05	00:00:05	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
9	16:58:15	16:58:15	16:58:15	16:58:15	16:58:15	16:58:15	16:58:15	16:58:20	16:58:20	16:58:20	16:58:27	16:58:27	16:58:27	16:58:27	16:58:27	16:58:27			16:58:28	16:58:28		00:00:00	00:00:00	00:00:05	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:13
10	16:58:28	16:58:28	16:58:28	16:58:28	16:58:28	16:58:28	16:58:28	16:58:34	16:58:34	16:58:34	16:58:45	16:58:45	16:58:45	16:58:45	16:58:45	16:58:45	16:58:45	16:58:45	16:58:46	16:58:46		00:00:00	00:00:00	00:00:05	00:00:06	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:17
11	16:58:46	16:58:46	16:58:46	16:58:46	16:58:46	16:58:46	16:58:46	16:58:52	16:58:52	16:58:52	16:59:00	16:59:00	16:59:00	16:59:00	16:59:00	16:59:00			16:59:01	16:59:01		00:00:00	00:00:00	00:00:05	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:14
12	16:59:01	16:59:01	16:59:01	16:59:01	16:59:01	16:59:01	16:59:01	16:59:08	16:59:08	16:59:08	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15	16:59:15			16:59:16	16:59:16		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
13	16:59:16	16:59:16	16:59:16	16:59:16	16:59:16	16:59:16	16:59:16	16:59:22	16:59:22	16:59:22	16:59:30	16:59:30	16:59:30	16:59:30	16:59:30	16:59:30			16:59:30	16:59:30		00:00:00	00:00:00	00:00:06	00:00:06	00:00:07	00:00:00	00:00:00		00:00:00	00:00:14
14	16:59:30	16:59:30	16:59:30	16:59:30	16:59:31	16:59:31	16:59:31	16:59:37	16:59:37	16:59:37	16:59:44	16:59:44	16:59:44	16:59:44	16:59:44	16:59:44			16:59:44	16:59:44		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:13
15	16:59:44	16:59:44	16:59:44	16:59:44	16:59:45	16:59:45	16:59:45	16:59:52	16:59:52	16:59:52	16:59:59	16:59:59	16:59:59	16:59:59	16:59:59	16:59:59			17:00:00	17:00:00		00:00:00	00:00:00	00:00:06	00:00:07	00:00:07	00:00:00	00:00:00		00:00:00	00:00:15
16	17:00:00	17:00:00	17:00:00	17:00:00	17:00:00	17:00:00	17:00:00	17:00:07	17:00:07	17:00:07	17:00:13	17:00:13	17:00:13	17:00:13	17:00:14	17:00:14			17:00:14	17:00:14		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
17	17:00:14	17:00:14	17:00:14	17:00:14	17:00:14	17:00:14	17:00:15	17:00:22	17:00:22	17:00:22	17:00:28	17:00:28	17:00:28	17:00:28	17:00:29	17:00:29			17:00:29	17:00:29		00:00:00	00:00:00	00:00:07	00:00:07	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
18	17:00:29	17:00:29	17:00:29	17:00:29	17:00:29	17:00:29	17:00:30	17:00:37	17:00:38	17:00:38	17:00:44	17:00:44	17:00:44	17:00:44	17:00:44	17:00:44			17:00:45	17:00:45		00:00:00	00:00:00	00:00:07	00:00:08	00:00:06	00:00:00	00:00:00		00:00:00	00:00:15
19	17:00:45	17:00:45	17:00:45	17:00:45	17:00:45	17:00:45	17:00:45	17:00:53	17:00:53	17:00:53	17:00:59	17:00:59	17:00:59	17:00:59	17:00:59	17:00:59			17:01:00	17:01:00		00:00:00	00:00:00	00:00:07	00:00:07	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
20	17:01:00	17:01:00	17:01:00	17:01:00	17:01:00	17:01:00	17:01:00	17:01:08	17:01:08	17:01:08	17:01:18	17:01:18	17:01:18	17:01:18	17:01:19	17:01:19	17:01:19	17:01:19	17:01:19	17:01:19		00:00:00	00:00:00	00:00:07	00:00:08	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:19
