ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	72.34744636183684	72.34744636183684	72.34744636183684	72.34744636183684
1	72.34732585047807	72.34727320449623	72.34733421351528	72.34739522253427
2	72.34742298545278	72.34735172185664	72.34741765091935	72.34748479833388
3	72.34735249592904	72.34715307833575	72.3473189828687	72.34748350978005
4	72.34727838370205	72.34708402109864	72.34725864386951	72.34744761282889
5	72.34721885323503	72.34698782427783	72.34721285969253	72.34742711686295
6	72.34733649959303	72.34696444633033	72.34728227494212	72.34760108520044
7	72.34722601536495	72.34690043947623	72.34722777324389	72.34758262452284
8	72.3474701804153	72.34706494410307	72.34739146489886	72.34770110321877
9	72.3473766469414	72.34693089309295	72.34730935044227	72.34770595945356
10	72.34733665798882	72.34690215717069	72.34730386668471	72.34771866120718
11	72.34718424840622	72.34682214113037	72.34723443534712	72.34765385871874
12	72.34747577291596	72.34690987092759	72.34736826769173	72.34781301260314
13	72.34742386444964	72.3468577612533	72.34733727982233	72.34779561771508
14	72.34734595993756	72.34685166217811	72.34734950947622	72.34781391950966
15	72.34731434691388	72.34682339625367	72.34732189452708	72.34778685079036
16	72.34758119519581	72.34633156579915	72.34739368010706	72.3484918919044
17	72.34763478691546	72.3463482532351	72.34743289153424	72.34853239910744
18	72.34768071715692	72.34637005985464	72.34747696165729	72.34857955121979
19	72.34750090407847	72.34635387954425	72.34740086470981	72.34850530459094
20	72.34746527662985	72.34629275051462	72.34739092599112	72.34854252597026
