Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	16:46:10	16:46:10	16:46:10			16:46:10	16:46:10	16:46:12	16:46:12	16:46:12	16:46:26	16:46:26	16:46:26	16:46:26	16:46:26	16:46:26			16:46:27	16:46:27		00:00:00		00:00:02	00:00:02	00:00:13	00:00:00	00:00:00		00:00:01	00:00:17
1	16:46:27	16:46:27	16:46:27	16:46:27	16:46:28	16:46:28	16:46:29	16:46:31	16:46:31	16:46:31	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39	16:46:39			16:46:40	16:46:40		00:00:00	00:00:01	00:00:02	00:00:02	00:00:07	00:00:00	00:00:00		00:00:01	00:00:12
2	16:46:40	16:46:40	16:46:40	16:46:40	16:46:40	16:46:40	16:46:40	16:46:43	16:46:43	16:46:43	16:46:50	16:46:50	16:46:50	16:46:50	16:46:50	16:46:50			16:46:51	16:46:51		00:00:00	00:00:00	00:00:02	00:00:02	00:00:07	00:00:00	00:00:00		00:00:00	00:00:11
3	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:54	16:46:54	16:46:54	16:47:02	16:47:02	16:47:02	16:47:02	16:47:02	16:47:02			16:47:03	16:47:03		00:00:00	00:00:00	00:00:03	00:00:03	00:00:07	00:00:00	00:00:00		00:00:00	00:00:11
4	16:47:03	16:47:03	16:47:03	16:47:03	16:47:03	16:47:03	16:47:03	16:47:06	16:47:06	16:47:06	16:47:14	16:47:14	16:47:14	16:47:14	16:47:14	16:47:14			16:47:15	16:47:15		00:00:00	00:00:00	00:00:03	00:00:03	00:00:07	00:00:00	00:00:00		00:00:00	00:00:11
5	16:47:15	16:47:15	16:47:15	16:47:15	16:47:15	16:47:15	16:47:15	16:47:18	16:47:18	16:47:18	16:47:25	16:47:25	16:47:25	16:47:25	16:47:25	16:47:25			16:47:26	16:47:26		00:00:00	00:00:00	00:00:03	00:00:03	00:00:06	00:00:00	00:00:00		00:00:00	00:00:11
6	16:47:26	16:47:26	16:47:26	16:47:26	16:47:26	16:47:26	16:47:27	16:47:30	16:47:30	16:47:30	16:47:37	16:47:37	16:47:37	16:47:37	16:47:37	16:47:37			16:47:38	16:47:38		00:00:00	00:00:00	00:00:03	00:00:04	00:00:07	00:00:00	00:00:00		00:00:00	00:00:12
7	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38	16:47:38	16:47:42	16:47:42	16:47:42	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50	16:47:50			16:47:51	16:47:51		00:00:00	00:00:00	00:00:03	00:00:03	00:00:07	00:00:00	00:00:00		00:00:00	00:00:12
8	16:47:51	16:47:51	16:47:51	16:47:51	16:47:51	16:47:51	16:47:51	16:47:55	16:47:55	16:47:55	16:48:03	16:48:03	16:48:03	16:48:03	16:48:03	16:48:03			16:48:04	16:48:04		00:00:00	00:00:00	00:00:03	00:00:03	00:00:08	00:00:00	00:00:00		00:00:00	00:00:13
9	16:48:04	16:48:04	16:48:04	16:48:04	16:48:04	16:48:04	16:48:04	16:48:08	16:48:08	16:48:08	16:48:15	16:48:15	16:48:15	16:48:15	16:48:15	16:48:15			16:48:16	16:48:16		00:00:00	00:00:00	00:00:03	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:11
10	16:48:16	16:48:16	16:48:16	16:48:16	16:48:16	16:48:16	16:48:16	16:48:20	16:48:20	16:48:20	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31	16:48:32	16:48:32		00:00:00	00:00:00	00:00:03	00:00:04	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:15
11	16:48:32	16:48:32	16:48:32	16:48:32	16:48:32	16:48:32	16:48:32	16:48:36	16:48:36	16:48:36	16:48:43	16:48:43	16:48:43	16:48:43	16:48:43	16:48:43			16:48:44	16:48:44		00:00:00	00:00:00	00:00:04	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
