pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44626	1048	40	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	1
pt interaction---h	44021	1452	29	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17151	36860	30689	16523	6177	1551	362	291	270	117	57	28	80
pt interaction---w	50115	5335	24	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	17	6	1	0	1	0	2	0	0	0	12
w---pt interaction	52190	2995	172	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 247.54645731502063 seconds = 00:04:07
