Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:19:55	12:19:55	12:19:55			12:19:55	12:19:55	12:19:58	12:19:58	12:19:58	12:20:13	12:20:13	12:20:13	12:20:13	12:20:13	12:20:13			12:20:14	12:20:14		00:00:00		00:00:03	00:00:03	00:00:14	00:00:00	00:00:00		00:00:01	00:00:18
1	12:20:14	12:20:14	12:20:14	12:20:14	12:20:15	12:20:15	12:20:15	12:20:19	12:20:19	12:20:19	12:20:26	12:20:26	12:20:26	12:20:26	12:20:26	12:20:26			12:20:27	12:20:27		00:00:00	00:00:00	00:00:03	00:00:04	00:00:06	00:00:00	00:00:00		00:00:01	00:00:12
2	12:20:27	12:20:27	12:20:27	12:20:27	12:20:27	12:20:27	12:20:27	12:20:31	12:20:31	12:20:31	12:20:38	12:20:38	12:20:38	12:20:38	12:20:38	12:20:38			12:20:39	12:20:39		00:00:00	00:00:00	00:00:03	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
3	12:20:39	12:20:39	12:20:39	12:20:39	12:20:39	12:20:39	12:20:40	12:20:44	12:20:44	12:20:44	12:20:52	12:20:52	12:20:52	12:20:52	12:20:52	12:20:52			12:20:52	12:20:52		00:00:00	00:00:00	00:00:04	00:00:04	00:00:07	00:00:00	00:00:00		00:00:00	00:00:13
4	12:20:53	12:20:53	12:20:53	12:20:53	12:20:53	12:20:53	12:20:53	12:20:58	12:20:58	12:20:58	12:21:05	12:21:05	12:21:05	12:21:05	12:21:05	12:21:05			12:21:06	12:21:06		00:00:00	00:00:00	00:00:05	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:13
5	12:21:06	12:21:06	12:21:06	12:21:06	12:21:06	12:21:06	12:21:06	12:21:12	12:21:12	12:21:12	12:21:19	12:21:19	12:21:19	12:21:19	12:21:19	12:21:19			12:21:19	12:21:19		00:00:00	00:00:00	00:00:05	00:00:05	00:00:06	00:00:00	00:00:00		00:00:00	00:00:13
6	12:21:20	12:21:20	12:21:20	12:21:20	12:21:20	12:21:20	12:21:20	12:21:25	12:21:25	12:21:25	12:21:32	12:21:32	12:21:32	12:21:32	12:21:33	12:21:33			12:21:33	12:21:33		00:00:00	00:00:00	00:00:05	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:13
7	12:21:33	12:21:33	12:21:33	12:21:33	12:21:34	12:21:34	12:21:34	12:21:40	12:21:40	12:21:40	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47	12:21:47			12:21:47	12:21:47		00:00:00	00:00:00	00:00:05	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:13
8	12:21:47	12:21:47	12:21:47	12:21:47	12:21:48	12:21:48	12:21:48	12:21:54	12:21:54	12:21:54	12:22:00	12:22:00	12:22:00	12:22:00	12:22:01	12:22:01			12:22:01	12:22:01		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:13
9	12:22:01	12:22:01	12:22:01	12:22:01	12:22:02	12:22:02	12:22:02	12:22:09	12:22:09	12:22:09	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15			12:22:16	12:22:16		00:00:00	00:00:00	00:00:07	00:00:07	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
10	12:22:16	12:22:16	12:22:16	12:22:16	12:22:16	12:22:16	12:22:17	12:22:24	12:22:24	12:22:24	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37	12:22:37		00:00:00	00:00:00	00:00:07	00:00:07	00:00:12	00:00:00	00:00:00	00:00:00	00:00:00	00:00:21
11	12:22:37	12:22:37	12:22:37	12:22:37	12:22:38	12:22:38	12:22:38	12:22:45	12:22:45	12:22:45	12:22:52	12:22:52	12:22:52	12:22:52	12:22:52	12:22:52			12:22:52	12:22:52		00:00:00	00:00:00	00:00:07	00:00:07	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
