pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	15	6	0	0	0	0	0	1	0	0	14
h---pt interaction	165022	15361	55	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	10	2	0	0	0	0	0	0	0	0	0
pt interaction---h	118570	995	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	23360	33189	27413	24913	20411	7482	2281	1115	1151	1064	975	1057	27449
pt interaction---w	37322	4552	20	0	0	0	0	0	0	0	0	0	0
w---h	3859	151	8	6	0	0	0	0	1	0	0	0	6
w---pt interaction	39325	2390	154	0	0	0	0	0	0	0	0	0	0
w---w	802	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 996.0142732544849 seconds = 00:16:36
