time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk
00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0	0	0	0	0
01:15:00	4500	2	1	0	1	1	0	0	1	1	1	0	0
01:20:00	4800	1	0	0	2	0	0	0	1	1	0	0	1
01:25:00	5100	1	1	0	2	1	0	0	2	0	1	0	0
01:30:00	5400	2	1	0	3	1	0	0	3	1	1	0	0
01:35:00	5700	0	0	0	3	0	0	0	3	0	0	0	0
01:40:00	6000	1	0	0	4	0	0	0	3	1	0	0	1
01:45:00	6300	1	1	0	4	1	0	0	4	0	1	0	0
01:50:00	6600	3	1	0	6	1	0	0	5	2	1	0	1
01:55:00	6900	1	1	0	6	1	0	0	6	0	1	0	0
02:00:00	7200	2	1	0	7	1	0	0	7	1	1	0	0
02:05:00	7500	3	1	0	9	1	0	0	8	2	1	0	1
02:10:00	7800	4	2	0	11	2	0	0	10	2	2	0	1
02:15:00	8100	9	4	0	16	3	0	0	13	6	4	0	3
02:20:00	8400	8	4	0	20	3	0	0	16	5	4	0	4
02:25:00	8700	6	4	0	22	3	0	0	19	3	4	0	3
02:30:00	9000	3	2	0	23	2	0	0	21	1	2	0	2
02:35:00	9300	1	1	0	23	0	0	0	21	1	1	0	2
02:40:00	9600	3	1	0	25	1	0	0	22	2	1	0	3
02:45:00	9900	4	2	0	27	2	0	0	24	2	2	0	3
02:50:00	10200	15	8	0	34	6	0	0	30	9	8	0	4
02:55:00	10500	11	5	0	40	5	0	0	35	6	5	0	5
03:00:00	10800	15	8	0	47	4	0	0	39	11	8	0	8
03:05:00	11100	11	8	0	50	5	0	0	44	6	8	0	6
03:10:00	11400	11	4	0	57	4	0	0	48	7	4	0	9
03:15:00	11700	19	12	0	64	8	0	0	56	11	12	0	8
03:20:00	12000	22	12	0	74	8	0	0	64	14	12	0	10
03:25:00	12300	35	16	0	93	13	0	0	77	22	16	0	16
