Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	18:21:19	18:21:19	18:21:19			18:21:19	18:21:20	18:21:27	18:21:27	18:21:27	18:21:56	18:21:56	18:21:56	18:21:56	18:21:57	18:21:57			18:21:59	18:21:59		00:00:00		00:00:07	00:00:08	00:00:28	00:00:00	00:00:00		00:00:02	00:00:40
1	18:22:00	18:22:00	18:22:00	18:22:00	18:22:01	18:22:01	18:22:02	18:22:10	18:22:10	18:22:10	18:22:26	18:22:26	18:22:26	18:22:26	18:22:26	18:22:26			18:22:27	18:22:27		00:00:00	00:00:00	00:00:08	00:00:09	00:00:15	00:00:00	00:00:00		00:00:00	00:00:26
2	18:22:27	18:22:27	18:22:27	18:22:27	18:22:28	18:22:28	18:22:29	18:22:37	18:22:38	18:22:38	18:22:53	18:22:53	18:22:54	18:22:54	18:22:54	18:22:54			18:22:55	18:22:55		00:00:00	00:00:00	00:00:08	00:00:09	00:00:15	00:00:00	00:00:00		00:00:00	00:00:27
3	18:22:55	18:22:55	18:22:55	18:22:55	18:22:55	18:22:55	18:22:56	18:23:06	18:23:06	18:23:06	18:23:20	18:23:20	18:23:20	18:23:20	18:23:20	18:23:20			18:23:21	18:23:21		00:00:00	00:00:00	00:00:09	00:00:10	00:00:13	00:00:00	00:00:00		00:00:00	00:00:26
4	18:23:21	18:23:21	18:23:21	18:23:21	18:23:21	18:23:21	18:23:22	18:23:33	18:23:33	18:23:33	18:23:48	18:23:48	18:23:48	18:23:48	18:23:48	18:23:48			18:23:49	18:23:49		00:00:00	00:00:00	00:00:10	00:00:11	00:00:15	00:00:00	00:00:00		00:00:00	00:00:28
5	18:23:49	18:23:49	18:23:49	18:23:49	18:23:50	18:23:50	18:23:52	18:24:02	18:24:03	18:24:03	18:24:19	18:24:19	18:24:19	18:24:19	18:24:19	18:24:19			18:24:20	18:24:20		00:00:00	00:00:00	00:00:10	00:00:12	00:00:15	00:00:00	00:00:00		00:00:00	00:00:30
6	18:24:20	18:24:20	18:24:20	18:24:20	18:24:20	18:24:20	18:24:22	18:24:34	18:24:34	18:24:34	18:24:49	18:24:49	18:24:49	18:24:49	18:24:50	18:24:50			18:24:50	18:24:50		00:00:00	00:00:00	00:00:11	00:00:13	00:00:15	00:00:00	00:00:00		00:00:00	00:00:30
7	18:24:50	18:24:51	18:24:51	18:24:51	18:24:51	18:24:51	18:24:53	18:25:05	18:25:06	18:25:06	18:25:21	18:25:21	18:25:21	18:25:21	18:25:21	18:25:21			18:25:22	18:25:22		00:00:00	00:00:00	00:00:12	00:00:14	00:00:15	00:00:00	00:00:00		00:00:00	00:00:31
8	18:25:22	18:25:22	18:25:22	18:25:22	18:25:22	18:25:22	18:25:24	18:25:38	18:25:38	18:25:38	18:25:54	18:25:54	18:25:54	18:25:54	18:25:54	18:25:54			18:25:55	18:25:55		00:00:00	00:00:00	00:00:13	00:00:15	00:00:15	00:00:00	00:00:00		00:00:00	00:00:33
9	18:25:55	18:25:55	18:25:55	18:25:55	18:25:55	18:25:55	18:25:58	18:26:12	18:26:12	18:26:12	18:26:28	18:26:28	18:26:28	18:26:28	18:26:29	18:26:29			18:26:29	18:26:29		00:00:00	00:00:00	00:00:13	00:00:16	00:00:16	00:00:00	00:00:00		00:00:00	00:00:34
