pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44616	1043	49	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	14	3	0	0	0	1	0	1	0	0	3
pt interaction---h	43870	1452	28	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17296	37073	30443	16278	6025	1458	368	295	235	104	70	44	233
pt interaction---w	50082	5342	26	0	0	0	0	0	0	0	0	0	0
w---h	13648	202	19	6	2	1	1	1	3	1	5	1	43
w---pt interaction	52119	2996	177	0	0	0	0	0	0	0	0	0	0
w---w	19489	70	19	4	0	2	1	0	0	1	0	0	1

average trip duration: 249.25491337529942 seconds = 00:04:09
