Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:29:27	12:29:27	12:29:27			12:29:27	12:29:27	12:29:30	12:29:30	12:29:30	12:29:45	12:29:45	12:29:45	12:29:45	12:29:45	12:29:45			12:29:46	12:29:46		00:00:00		00:00:03	00:00:03	00:00:14	00:00:00	00:00:00		00:00:01	00:00:19
1	12:29:46	12:29:46	12:29:46	12:29:46	12:29:46	12:29:46	12:29:47	12:29:50	12:29:50	12:29:50	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58	12:29:58			12:29:59	12:29:59		00:00:00	00:00:00	00:00:03	00:00:03	00:00:07	00:00:00	00:00:00		00:00:00	00:00:12
2	12:29:59	12:29:59	12:29:59	12:29:59	12:29:59	12:29:59	12:29:59	12:30:03	12:30:03	12:30:03	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10	12:30:10			12:30:11	12:30:11		00:00:00	00:00:00	00:00:04	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
3	12:30:11	12:30:11	12:30:11	12:30:11	12:30:11	12:30:11	12:30:11	12:30:16	12:30:16	12:30:16	12:30:23	12:30:23	12:30:23	12:30:23	12:30:23	12:30:23			12:30:24	12:30:24		00:00:00	00:00:00	00:00:04	00:00:04	00:00:06	00:00:00	00:00:00		00:00:00	00:00:12
4	12:30:24	12:30:24	12:30:24	12:30:24	12:30:24	12:30:24	12:30:24	12:30:29	12:30:29	12:30:29	12:30:36	12:30:36	12:30:36	12:30:36	12:30:36	12:30:36			12:30:37	12:30:37		00:00:00	00:00:00	00:00:04	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:13
5	12:30:37	12:30:37	12:30:37	12:30:37	12:30:37	12:30:37	12:30:38	12:30:43	12:30:43	12:30:43	12:30:51	12:30:51	12:30:51	12:30:51	12:30:51	12:30:51			12:30:52	12:30:52		00:00:00	00:00:00	00:00:05	00:00:05	00:00:07	00:00:00	00:00:00		00:00:00	00:00:14
6	12:30:52	12:30:52	12:30:52	12:30:52	12:30:52	12:30:52	12:30:52	12:30:58	12:30:58	12:30:58	12:31:04	12:31:04	12:31:04	12:31:04	12:31:04	12:31:04			12:31:05	12:31:05		00:00:00	00:00:00	00:00:05	00:00:05	00:00:06	00:00:00	00:00:00		00:00:00	00:00:13
7	12:31:05	12:31:05	12:31:05	12:31:05	12:31:05	12:31:05	12:31:05	12:31:12	12:31:12	12:31:12	12:31:18	12:31:18	12:31:18	12:31:18	12:31:19	12:31:19			12:31:19	12:31:19		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
8	12:31:19	12:31:19	12:31:19	12:31:19	12:31:19	12:31:19	12:31:20	12:31:26	12:31:26	12:31:26	12:31:33	12:31:33	12:31:33	12:31:33	12:31:34	12:31:34			12:31:34	12:31:34		00:00:00	00:00:00	00:00:06	00:00:06	00:00:07	00:00:00	00:00:00		00:00:00	00:00:14
9	12:31:34	12:31:34	12:31:34	12:31:34	12:31:35	12:31:35	12:31:35	12:31:41	12:31:41	12:31:41	12:31:48	12:31:48	12:31:48	12:31:48	12:31:48	12:31:48			12:31:49	12:31:49		00:00:00	00:00:00	00:00:06	00:00:06	00:00:06	00:00:00	00:00:00		00:00:00	00:00:14
10	12:31:49	12:31:49	12:31:49	12:31:49	12:31:49	12:31:49	12:31:49	12:31:57	12:31:57	12:31:57	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10	12:32:10		00:00:00	00:00:00	00:00:07	00:00:07	00:00:12	00:00:00	00:00:00	00:00:00	00:00:00	00:00:21
11	12:32:11	12:32:11	12:32:11	12:32:11	12:32:11	12:32:11	12:32:11	12:32:19	12:32:19	12:32:19	12:32:26	12:32:26	12:32:26	12:32:26	12:32:26	12:32:26			12:32:27	12:32:27		00:00:00	00:00:00	00:00:07	00:00:07	00:00:07	00:00:00	00:00:00		00:00:00	00:00:16
12	12:32:27	12:32:27	12:32:27	12:32:27	12:32:27	12:32:27	12:32:27	12:32:35	12:32:35	12:32:35	12:32:41	12:32:41	12:32:41	12:32:41	12:32:41	12:32:41			12:32:42	12:32:42		00:00:00	00:00:00	00:00:07	00:00:07	00:00:06	00:00:00	00:00:00		00:00:00	00:00:15
13	12:32:42	12:32:42	12:32:42	12:32:42	12:32:42	12:32:42	12:32:42	12:32:51	12:32:51	12:32:51	12:32:57	12:32:57	12:32:57	12:32:57	12:32:57	12:32:57			12:32:58	12:32:58		00:00:00	00:00:00	00:00:08	00:00:08	00:00:06	00:00:00	00:00:00		00:00:00	00:00:16
14	12:32:58	12:32:58	12:32:58	12:32:58	12:32:58	12:32:58	12:32:59	12:33:07	12:33:07	12:33:07	12:33:13	12:33:13	12:33:13	12:33:13	12:33:13	12:33:13			12:33:14	12:33:14		00:00:00	00:00:00	00:00:08	00:00:08	00:00:06	00:00:00	00:00:00		00:00:00	00:00:15
15	12:33:14	12:33:14	12:33:14	12:33:14	12:33:14	12:33:14	12:33:14	12:33:24	12:33:24	12:33:24	12:33:30	12:33:30	12:33:30	12:33:30	12:33:30	12:33:30			12:33:31	12:33:31		00:00:00	00:00:00	00:00:09	00:00:09	00:00:06	00:00:00	00:00:00		00:00:00	00:00:16
16	12:33:31	12:33:31	12:33:31	12:33:31	12:33:31	12:33:31	12:33:31	12:33:40	12:33:40	12:33:40	12:33:46	12:33:46	12:33:46	12:33:46	12:33:47	12:33:47			12:33:47	12:33:47		00:00:00	00:00:00	00:00:08	00:00:09	00:00:06	00:00:00	00:00:00		00:00:00	00:00:16
17	12:33:47	12:33:47	12:33:47	12:33:47	12:33:48	12:33:48	12:33:48	12:33:57	12:33:57	12:33:57	12:34:04	12:34:04	12:34:04	12:34:04	12:34:04	12:34:04			12:34:05	12:34:05		00:00:00	00:00:00	00:00:09	00:00:09	00:00:06	00:00:00	00:00:00		00:00:00	00:00:17
18	12:34:05	12:34:05	12:34:05	12:34:05	12:34:05	12:34:05	12:34:05	12:34:15	12:34:15	12:34:15	12:34:22	12:34:22	12:34:22	12:34:22	12:34:22	12:34:22			12:34:23	12:34:23		00:00:00	00:00:00	00:00:09	00:00:09	00:00:06	00:00:00	00:00:00		00:00:00	00:00:17
19	12:34:23	12:34:23	12:34:23	12:34:23	12:34:23	12:34:23	12:34:23	12:34:34	12:34:34	12:34:34	12:34:41	12:34:41	12:34:41	12:34:41	12:34:42	12:34:42			12:34:42	12:34:42		00:00:00	00:00:00	00:00:10	00:00:10	00:00:07	00:00:00	00:00:00		00:00:00	00:00:19
20	12:34:42	12:34:42	12:34:42	12:34:42	12:34:43	12:34:43	12:34:43	12:34:53	12:34:53	12:34:53	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06	12:35:06		00:00:00	00:00:00	00:00:10	00:00:10	00:00:12	00:00:00	00:00:00	00:00:00	00:00:00	00:00:24
