pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44589	1042	49	33	0	1	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	1
pt interaction---h	44096	1455	30	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17146	36900	30636	16822	6090	1589	362	261	212	104	50	17	7
pt interaction---w	50121	5334	23	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	17	6	1	0	1	0	1	0	0	0	0
w---pt interaction	52188	2976	195	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	0

average trip duration: 245.92439323527202 seconds = 00:04:05
