Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	14:05:51	14:05:51	14:05:51			14:05:51	14:05:51	14:05:55	14:05:55	14:05:55	14:06:09	14:06:09	14:06:09	14:06:09	14:06:09	14:06:09	14:06:13	14:06:13		00:00:00		00:00:03	00:00:03	00:00:13	00:00:00	00:00:00	00:00:03	00:00:21
1	14:06:13	14:06:13	14:06:13	14:06:13	14:06:14	14:06:14	14:06:14	14:06:18	14:06:18	14:06:18	14:06:23	14:06:23	14:06:23	14:06:23	14:06:23	14:06:23	14:06:24	14:06:24		00:00:00	00:00:00	00:00:03	00:00:03	00:00:05	00:00:00	00:00:00	00:00:01	00:00:11
2	14:06:25	14:06:25	14:06:25	14:06:25	14:06:25	14:06:25	14:06:25	14:06:30	14:06:30	14:06:30	14:06:35	14:06:35	14:06:35	14:06:35	14:06:35	14:06:35	14:06:36	14:06:36		00:00:00	00:00:00	00:00:04	00:00:04	00:00:05	00:00:00	00:00:00	00:00:00	00:00:11
3	14:06:36	14:06:36	14:06:36	14:06:36	14:06:37	14:06:37	14:06:37	14:06:42	14:06:42	14:06:42	14:06:47	14:06:47	14:06:47	14:06:47	14:06:47	14:06:47	14:06:48	14:06:48		00:00:00	00:00:01	00:00:04	00:00:04	00:00:04	00:00:00	00:00:00	00:00:00	00:00:11
4	14:06:48	14:06:48	14:06:48	14:06:48	14:06:49	14:06:49	14:06:49	14:06:54	14:06:54	14:06:54	14:06:59	14:06:59	14:06:59	14:06:59	14:06:59	14:06:59	14:07:00	14:07:00		00:00:00	00:00:00	00:00:05	00:00:05	00:00:05	00:00:00	00:00:00	00:00:00	00:00:12
5	14:07:00	14:07:00	14:07:00	14:07:00	14:07:01	14:07:01	14:07:01	14:07:07	14:07:07	14:07:07	14:07:12	14:07:12	14:07:12	14:07:12	14:07:12	14:07:12	14:07:13	14:07:13		00:00:00	00:00:00	00:00:05	00:00:06	00:00:04	00:00:00	00:00:00	00:00:00	00:00:12
6	14:07:13	14:07:13	14:07:13	14:07:13	14:07:14	14:07:14	14:07:14	14:07:20	14:07:20	14:07:20	14:07:25	14:07:25	14:07:25	14:07:25	14:07:26	14:07:26	14:07:26	14:07:26		00:00:00	00:00:00	00:00:05	00:00:06	00:00:05	00:00:00	00:00:00	00:00:00	00:00:12
7	14:07:26	14:07:26	14:07:26	14:07:26	14:07:27	14:07:27	14:07:28	14:07:34	14:07:34	14:07:34	14:07:39	14:07:39	14:07:39	14:07:39	14:07:39	14:07:39	14:07:40	14:07:40		00:00:00	00:00:01	00:00:06	00:00:06	00:00:05	00:00:00	00:00:00	00:00:00	00:00:13
8	14:07:40	14:07:40	14:07:40	14:07:40	14:07:41	14:07:41	14:07:41	14:07:48	14:07:48	14:07:48	14:07:53	14:07:53	14:07:53	14:07:53	14:07:54	14:07:54	14:07:54	14:07:54		00:00:00	00:00:00	00:00:07	00:00:07	00:00:04	00:00:00	00:00:00	00:00:00	00:00:14
9	14:07:55	14:07:55	14:07:55	14:07:55	14:07:55	14:07:55	14:07:55	14:08:02	14:08:02	14:08:02	14:08:08	14:08:08	14:08:08	14:08:08	14:08:08	14:08:08	14:08:09	14:08:09		00:00:00	00:00:00	00:00:07	00:00:07	00:00:05	00:00:00	00:00:00	00:00:00	00:00:14
10	14:08:09	14:08:09	14:08:09	14:08:09	14:08:10	14:08:10	14:08:10	14:08:17	14:08:17	14:08:17	14:08:28	14:08:28	14:08:28	14:08:28	14:08:29	14:08:29	14:08:29	14:08:29		00:00:00	00:00:01	00:00:07	00:00:07	00:00:11	00:00:00	00:00:00	00:00:00	00:00:20
11	14:08:30	14:08:30	14:08:30	14:08:30	14:08:31	14:08:31	14:08:31	14:08:38	14:08:38	14:08:38	14:08:43	14:08:43	14:08:44	14:08:44	14:08:44	14:08:44	14:08:44	14:08:44		00:00:00	00:00:00	00:00:07	00:00:07	00:00:05	00:00:00	00:00:00	00:00:00	00:00:14
12	14:08:45	14:08:45	14:08:45	14:08:45	14:08:46	14:08:46	14:08:46	14:08:54	14:08:54	14:08:54	14:08:59	14:08:59	14:08:59	14:08:59	14:08:59	14:08:59	14:09:00	14:09:00		00:00:00	00:00:01	00:00:07	00:00:07	00:00:05	00:00:00	00:00:00	00:00:00	00:00:15
13	14:09:00	14:09:00	14:09:00	14:09:00	14:09:01	14:09:01	14:09:01	14:09:08	14:09:08	14:09:08	14:09:13	14:09:13	14:09:13	14:09:13	14:09:14	14:09:14	14:09:14	14:09:14		00:00:00	00:00:00	00:00:07	00:00:07	00:00:04	00:00:00	00:00:00	00:00:00	00:00:14
14	14:09:14	14:09:14	14:09:15	14:09:15	14:09:16	14:09:16	14:09:16	14:09:24	14:09:24	14:09:24	14:09:30	14:09:30	14:09:30	14:09:30	14:09:30	14:09:30	14:09:31	14:09:31		00:00:00	00:00:01	00:00:08	00:00:08	00:00:05	00:00:00	00:00:00	00:00:00	00:00:16
15	14:09:31	14:09:31	14:09:31	14:09:31	14:09:31	14:09:31	14:09:32	14:09:40	14:09:40	14:09:40	14:09:45	14:09:45	14:09:45	14:09:45	14:09:45	14:09:45	14:09:46	14:09:46		00:00:00	00:00:00	00:00:08	00:00:08	00:00:05	00:00:00	00:00:00	00:00:00	00:00:15
16	14:09:46	14:09:46	14:09:46	14:09:46	14:09:47	14:09:47	14:09:47	14:09:56	14:09:56	14:09:56	14:10:02	14:10:02	14:10:02	14:10:02	14:10:02	14:10:02	14:10:03	14:10:03		00:00:00	00:00:01	00:00:08	00:00:08	00:00:05	00:00:00	00:00:00	00:00:00	00:00:16
17	14:10:03	14:10:03	14:10:03	14:10:03	14:10:03	14:10:03	14:10:04	14:10:12	14:10:12	14:10:12	14:10:17	14:10:17	14:10:17	14:10:17	14:10:17	14:10:17	14:10:18	14:10:18		00:00:00	00:00:00	00:00:08	00:00:08	00:00:05	00:00:00	00:00:00	00:00:00	00:00:15
18	14:10:18	14:10:18	14:10:18	14:10:18	14:10:20	14:10:20	14:10:20	14:10:28	14:10:28	14:10:28	14:10:33	14:10:33	14:10:33	14:10:33	14:10:33	14:10:33	14:10:34	14:10:34		00:00:00	00:00:01	00:00:08	00:00:08	00:00:04	00:00:00	00:00:00	00:00:00	00:00:15
19	14:10:34	14:10:34	14:10:34	14:10:34	14:10:35	14:10:35	14:10:35	14:10:43	14:10:43	14:10:43	14:10:48	14:10:48	14:10:48	14:10:48	14:10:48	14:10:48	14:10:49	14:10:49		00:00:00	00:00:00	00:00:08	00:00:08	00:00:05	00:00:00	00:00:00	00:00:00	00:00:15
20	14:10:49	14:10:49	14:10:49	14:10:49	14:10:50	14:10:50	14:10:50	14:10:59	14:10:59	14:10:59	14:11:09	14:11:09	14:11:09	14:11:09	14:11:10	14:11:10	14:11:11	14:11:11		00:00:00	00:00:01	00:00:08	00:00:08	00:00:10	00:00:00	00:00:00	00:00:00	00:00:21
