pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44589	1042	49	33	0	1	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	1
pt interaction---h	44110	1455	30	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17122	36696	30743	16785	6259	1565	365	267	226	116	45	18	6
pt interaction---w	50122	5334	23	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	17	6	1	0	1	0	1	0	0	0	0
w---pt interaction	52189	2976	195	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	0

average trip duration: 246.58806631739358 seconds = 00:04:06
