id,entering,leaving,passthrough,totalVolume
CHIMI3,0.0,0.0,0.0,0.0
FLORAI1,0.0,0.0,0.0,0.0
SALOM1,0.0,0.0,0.0,0.0
POPU1,0.0,0.0,0.0,0.0
MZAN1,0.0,0.0,0.0,0.0
FATI1,0.0,0.0,0.0,0.0
RIOC1,0.0,0.0,0.0,0.0
TORRE3,0.0,0.0,0.0,0.0
ERMI1,0.0,0.0,0.0,0.0
CENTRO1,0.0,0.0,0.0,0.0
FRAY1,0.0,0.0,0.0,0.0
SANBO3,0.0,0.0,0.0,0.0
SNTLIB3,0.0,0.0,0.0,0.0
MANZA3,0.0,0.0,0.0,0.0
ESTAD3,0.0,0.0,0.0,0.0
TEQUE1,0.0,0.0,0.0,0.0
LIDO1,0.0,0.0,0.0,0.0
UDP3,0.0,0.0,0.0,0.0
PLATOR1,0.0,0.0,0.0,0.0
PAMPA1,0.0,0.0,0.0,0.0
REFUG1,0.0,0.0,0.0,0.0
CALDAS1,0.0,0.0,0.0,0.0
CAPRI3,0.0,0.0,0.0,0.0
MELEN1,0.0,0.0,0.0,0.0
BUITRE1,0.0,0.0,0.0,0.0
UNIVAL1,0.0,0.0,0.0,0.0
UNIV1,0.0,0.0,0.0,0.0
