id,entering,leaving,passthrough,totalVolume
UNIV4,0.0,0.0,0.0,0.0
UNIVAL2,0.0,0.0,0.0,0.0
BUITRE2,0.0,0.0,0.0,0.0
MELEN2,0.0,0.0,0.0,0.0
CAPRI2,0.0,0.0,0.0,0.0
CALDAS2,0.0,0.0,0.0,0.0
REFUG2,0.0,0.0,0.0,0.0
PAMPA2,0.0,0.0,0.0,0.0
PLATOR2,0.0,0.0,0.0,0.0
UDP4,0.0,0.0,0.0,0.0
LIDO4,0.0,0.0,0.0,0.0
TEQUE4,0.0,0.0,0.0,0.0
ESTAD2,0.0,0.0,0.0,0.0
MANZA2,0.0,0.0,0.0,0.0
SNTLIB2,0.0,0.0,0.0,0.0
SANBO2,0.0,0.0,0.0,0.0
SANPAS2,0.0,0.0,0.0,0.0
SUCRE2,0.0,0.0,0.0,0.0
PTCUY2,0.0,0.0,0.0,0.0
SANPED2,0.0,0.0,0.0,0.0
TORRE2,0.0,0.0,0.0,0.0
SANIC2,0.0,0.0,0.0,0.0
PILOT2,0.0,0.0,0.0,0.0
FATI2,0.0,0.0,0.0,0.0
MZAN2,0.0,0.0,0.0,0.0
POPU4,0.0,0.0,0.0,0.0
SALOM2,0.0,0.0,0.0,0.0
FLORAI2,0.0,0.0,0.0,0.0
CHIMI2,0.0,0.0,0.0,0.0
