Stop Name,Stop ID,# entering,# leaving,# passengers
Universidades B2,UNIV4,661,0,661
Buitrera B1,BUITRE2,313,48,926
Melendez B1,MELEN2,111,104,933
Capri B1,CAPRI2,80,37,976
Caldas B1,CALDAS2,139,124,991
Pampalinda B1,PAMPA2,147,108,1030
Unidad Deportiva B3,UDP6,70,31,1069
Tequendama B2,TEQUE4,169,137,1101
Estadio B1,ESTAD2,144,219,1026
San Bosco B1,SANBO2,184,192,1018
San Pascual B1,SANPAS2,134,143,1009
Petecuy B3,PTCUY6,134,46,1097
Torre de Cali B2,TORRE4,224,125,1196
Versalles B1,VERSALL2,42,111,1127
Las Americas B1,L.AMERI2,32,286,873
Prados del Norte B1,PRADNOR2,3,118,758
Vipasa B1,VIPASA2,3,159,602
Alamos B1,ALAMOS2,3,321,284
Terminal Menga B1,TMENGA5,0,284,0
