Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Chiminangos A2,CHIMI3,1517,0,1517,0
Flora Industrial A1,FLORAI1,61,3,1575,1514
Salomia A1,SALOM1,10,10,1575,1565
Popular A1,POPU1,5,5,1575,1570
Torre de Cali A2,TORRE3,102,164,1513,1411
San Bosco A2,SANBO3,78,434,1157,1079
Estadio A2,ESTAD3,45,229,973,928
Tequendama A1,TEQUE1,44,286,731,687
Unidad Deportiva A2,UDP3,29,74,686,657
Pampalinda A1,PAMPA1,38,162,562,524
Capri A2,CAPRI3,47,88,521,474
Melendez A1,MELEN1,56,75,502,446
Buitrera A1,BUITRE1,9,182,329,320
Universidades A1,UNIV1,0,329,0,0
