Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Universidades B2,UNIV4,405,0,405,0
Buitrera B1,BUITRE2,79,25,459,380
Melendez B1,MELEN2,354,19,794,440
Capri B1,CAPRI2,152,19,927,775
Pampalinda B1,PAMPA2,82,67,942,860
Unidad Deportiva B2,UDP4,71,91,922,851
Tequendama B2,TEQUE4,65,121,866,801
Estadio B1,ESTAD2,42,118,790,748
San Pascual B1,SANPAS2,129,19,900,771
Torre de Cali B1,TORRE2,51,542,409,358
Popular B2,POPU4,5,77,337,332
Salomia B1,SALOM2,8,82,263,255
Flora Industrial B1,FLORAI2,5,78,190,185
Chiminangos B1,CHIMI2,0,190,0,0
