Stop Name,Stop ID,# entering,# leaving,# passengers
Chiminangos A2,CHIMI3,298,0,298
Flora Industrial A1,FLORAI1,146,2,442
Salomia A1,SALOM1,90,13,519
Popular A1,POPU1,45,11,553
Manzanares A1,MZAN1,53,10,596
Fatima A1,FATI1,69,17,648
Rio Cali A1,RIOC1,32,32,648
Torre de Cali A2,TORRE3,461,97,1012
La Ermita A1,ERMI1,233,85,1160
Centro A1,CENTRO1,280,242,1198
Fray Damian A1,FRAY1,7,3,1202
San Bosco A2,SANBO3,124,232,1094
Santa Librada A2,SNTLIB3,200,119,1175
Manzana del Saber A2,MANZA3,111,155,1131
Estadio A2,ESTAD3,113,92,1152
Tequendama A1,TEQUE1,96,196,1052
Lido A1,LIDO1,66,105,1013
Unidad Deportiva A2,UDP3,71,103,981
Plaza de Toros A1,PLATOR1,42,56,967
Pampalinda A1,PAMPA1,68,120,915
Refugio A1,REFUG1,47,125,837
Caldas A1,CALDAS1,43,98,782
Capri A2,CAPRI3,14,85,711
Melendez A1,MELEN1,38,169,580
Buitrera A1,BUITRE1,52,145,487
Univalle A1,UNIVAL1,13,88,412
Universidades A1,UNIV1,0,412,0
