Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Chiminangos A2,CHIMI3,534,0,534,0
Flora Industrial A1,FLORAI1,274,2,806,532
Salomia A1,SALOM1,129,22,913,784
Popular A1,POPU1,59,21,951,892
Manzanares A1,MZAN1,78,27,1002,924
Fatima A1,FATI1,90,47,1045,955
Rio Cali A1,RIOC1,13,99,959,946
Torre de Cali A2,TORRE3,326,83,1202,876
La Ermita A1,ERMI1,30,132,1100,1070
Centro A1,CENTRO1,50,260,890,840
Fray Damian A1,FRAY1,13,1,902,889
San Bosco A2,SANBO3,178,94,986,808
Santa Librada A2,SNTLIB3,291,221,1056,765
Manzana del Saber A2,MANZA3,168,250,974,806
Estadio A2,ESTAD3,55,85,944,889
Tequendama A1,TEQUE1,85,98,931,846
Lido A1,LIDO1,65,173,823,758
Unidad Deportiva A2,UDP3,27,48,802,775
Plaza de Toros A1,PLATOR1,36,84,754,718
Pampalinda A1,PAMPA1,39,56,737,698
Refugio A1,REFUG1,91,109,719,628
Caldas A1,CALDAS1,97,84,732,635
Capri A2,CAPRI3,40,63,709,669
Melendez A1,MELEN1,63,67,705,642
Buitrera A1,BUITRE1,35,192,548,513
Univalle A1,UNIVAL1,9,211,346,337
Universidades A1,UNIV1,0,346,0,0
