Stop Name,Stop ID,# entering,# leaving,# passengers
Universidades B2,UNIV4,300,0,300
Univalle B1,UNIVAL2,214,12,502
Buitrera B1,BUITRE2,177,10,669
Melendez B1,MELEN2,73,44,698
Capri B1,CAPRI2,57,31,724
Caldas B1,CALDAS2,56,86,694
Refugio B1,REFUG2,174,90,778
Pampalinda B1,PAMPA2,80,33,825
Plaza de Toros B1,PLATOR2,79,35,869
Unidad Deportiva B2,UDP4,130,25,974
Lido B2,LIDO4,143,76,1041
Tequendama B2,TEQUE4,124,59,1106
Estadio B1,ESTAD2,63,109,1060
Manzana del Saber B1,MANZA2,256,204,1112
Santa Librada B1,SNTLIB2,144,285,971
San Bosco B1,SANBO2,508,67,1412
San Pascual B1,SANPAS2,8,160,1260
Sucre B1,SUCRE2,23,22,1261
Petecuy B1,PTCUY2,455,99,1617
San Pedro B1,SANPED2,414,393,1638
Torre de Cali B1,TORRE2,71,397,1312
San Nicolas B1,SANIC2,30,7,1335
Piloto B1,PILOT2,34,12,1357
Fatima B1,FATI2,15,88,1284
Manzanares B1,MZAN2,15,84,1215
Popular B2,POPU4,7,120,1102
Salomia B1,SALOM2,6,151,957
Flora Industrial B1,FLORAI2,1,316,642
Chiminangos B1,CHIMI2,0,642,0
