Stop Name,Stop ID,# entering,# leaving,# passengers,# passthrough
Universidades B2,UNIV4,326,0,326,0
Univalle B1,UNIVAL2,28,21,333,305
Buitrera B1,BUITRE2,62,13,382,320
Melendez B1,MELEN2,247,13,616,369
Capri B1,CAPRI2,141,17,740,599
Caldas B1,CALDAS2,159,29,870,711
Refugio B1,REFUG2,314,70,1114,800
Pampalinda B1,PAMPA2,71,78,1107,1036
Plaza de Toros B1,PLATOR2,95,40,1162,1067
Unidad Deportiva B2,UDP4,52,30,1184,1132
Lido B2,LIDO4,128,122,1190,1062
Tequendama B2,TEQUE4,74,65,1199,1125
Estadio B1,ESTAD2,43,105,1137,1094
Manzana del Saber B1,MANZA2,187,207,1117,930
Santa Librada B1,SNTLIB2,151,221,1047,896
San Bosco B1,SANBO2,499,42,1504,1005
San Pascual B1,SANPAS2,22,156,1370,1348
Sucre B1,SUCRE2,21,12,1379,1358
Petecuy B1,PTCUY2,35,102,1312,1277
San Pedro B1,SANPED2,75,859,528,453
Torre de Cali B1,TORRE2,87,216,399,312
San Nicolas B1,SANIC2,13,31,381,368
Piloto B1,PILOT2,7,44,344,337
Fatima B1,FATI2,5,86,263,258
Manzanares B1,MZAN2,7,63,207,200
Popular B2,POPU4,4,29,182,178
Salomia B1,SALOM2,12,52,142,130
Flora Industrial B1,FLORAI2,3,51,94,91
Chiminangos B1,CHIMI2,0,94,0,0
