LinkId,FromNode,ToNode,Length,Vol
1-2,1,2,444.0,333
1-39,1,39,914.0,230
1-UNIVAL1,1,UNIVAL1,19.0,230
1-UNIVAL2,1,UNIVAL2,19.0,333
10-11,10,11,959.0,3223
10-40,10,40,977.0,1225
10-9,10,9,539.0,730
10-TEQUE1,10,TEQUE1,19.0,1955
10-TEQUE4,10,TEQUE4,19.0,3289
11-10,11,10,959.0,2316
11-12,11,12,426.0,968
11-14,11,14,1695.0,1213
11-15,11,15,2234.0,674
11-ESTAD2,11,ESTAD2,19.0,2855
11-ESTAD3,11,ESTAD3,19.0,2370
12-11,12,11,428.0,823
12-13,12,13,680.0,957
12-MANZA2,12,MANZA2,19.0,957
12-MANZA3,12,MANZA3,19.0,823
13-12,13,12,680.0,877
13-14,13,14,593.0,874
13-SNTLIB2,13,SNTLIB2,19.0,874
13-SNTLIB3,13,SNTLIB3,19.0,877
14-11,14,11,1701.0,1843
14-13,14,13,597.0,820
14-15,14,15,539.0,2319
14-SANBO2,14,SANBO2,19.0,2319
14-SANBO3,14,SANBO3,19.0,2747
15-23,15,23,300.0,1016
15-24,15,24,677.0,1203
15-26,15,26,1840.0,701
15-SANPAS2,15,SANPAS2,19.0,2954
2-1,2,1,426.0,403
2-3,2,3,585.0,1570
2-39,2,39,1321.0,438
2-BUITRE1,2,BUITRE1,19.0,856
2-BUITRE2,2,BUITRE2,19.0,1570
23-24,23,24,592.0,982
23-SUCRE2,23,SUCRE2,19.0,982
24-25,24,25,638.0,965
24-26,24,26,901.0,1082
24-PTCUY2,24,PTCUY2,19.0,965
24-PTCUY6,24,PTCUY6,19.0,1082
25-26,25,26,264.0,395
25-SANPED2,25,SANPED2,19.0,395
26-14,26,14,2065.0,1337
26-29,26,29,368.0,1057
26-31,26,31,587.0,321
26-35,26,35,2681.0,325
26-42,26,42,513.0,1243
26-43,26,43,583.0,900
26-TORRE2,26,TORRE2,19.0,656
26-TORRE3,26,TORRE3,19.0,3637
26-TORRE4,26,TORRE4,19.0,934
27-14,27,14,600.0,790
27-FRAY1,27,FRAY1,19.0,790
28-27,28,27,522.0,778
28-CENTRO1,28,CENTRO1,19.0,815
29-28,29,28,577.0,973
29-ERMI1,29,ERMI1,19.0,973
3-2,3,2,617.0,1357
3-4,3,4,1181.0,2586
3-MELEN1,3,MELEN1,19.0,1357
3-MELEN2,3,MELEN2,19.0,2662
30-26,30,26,753.0,905
30-RIOC1,30,RIOC1,19.0,926
31-32,31,32,394.0,296
31-SANIC2,31,SANIC2,19.0,296
32-33,32,33,653.0,257
32-PILOT2,32,PILOT2,19.0,257
33-30,33,30,1061.0,1007
33-34,33,34,578.0,153
33-FATI1,33,FATI1,19.0,1007
33-FATI2,33,FATI2,19.0,166
34-33,34,33,573.0,968
34-35,34,35,470.0,80
34-MZAN1,34,MZAN1,19.0,968
34-MZAN2,34,MZAN2,19.0,80
35-26,35,26,2855.0,1449
35-34,35,34,470.0,947
35-36,35,36,637.0,287
35-POPU1,35,POPU1,19.0,2396
35-POPU4,35,POPU4,19.0,287
36-35,36,35,643.0,2417
36-37,36,37,699.0,162
36-SALOM1,36,SALOM1,19.0,2417
36-SALOM2,36,SALOM2,19.0,162
37-36,37,36,703.0,2318
37-38,37,38,574.0,38
37-FLORAI1,37,FLORAI1,19.0,2318
37-FLORAI2,37,FLORAI2,19.0,38
38-37,38,37,636.0,2051
38-CHIMI2,38,CHIMI2,19.0,-240
38-CHIMI3,38,CHIMI3,19.0,2051
39-1,39,1,932.0,326
39-2,39,2,1375.0,1086
39-UNIV1,39,UNIV1,19.0,-574
39-UNIV4,39,UNIV4,19.0,1423
4-3,4,3,1205.0,1397
4-5,4,5,681.0,2135
4-7,4,7,1801.0,855
4-CAPRI2,4,CAPRI2,19.0,3019
4-CAPRI3,4,CAPRI3,19.0,1397
40-10,40,10,997.0,2485
40-7,40,7,1271.0,1143
40-8,40,8,688.0,601
40-9,40,9,418.0,1096
40-UDP3,40,UDP3,19.0,1763
40-UDP4,40,UDP4,19.0,1914
40-UDP6,40,UDP6,19.0,1709
42-14,42,14,1716.0,987
42-CAICED1,42,CAICED1,19.0,1019
43-26,43,26,587.0,1179
43-44,43,44,331.0,722
43-VERSALL1,43,VERSALL1,19.0,1179
43-VERSALL2,43,VERSALL2,19.0,748
44-43,44,43,331.0,1176
44-45,44,45,1406.0,405
44-L.AMERI1,44,L.AMERI1,19.0,1206
44-L.AMERI2,44,L.AMERI2,19.0,405
45-44,45,44,1352.0,1051
45-46,45,46,552.0,274
45-PRADNOR1,45,PRADNOR1,19.0,1063
45-PRADNOR2,45,PRADNOR2,19.0,274
46-45,46,45,551.0,914
46-47,46,47,774.0,169
46-VIPASA1,46,VIPASA1,19.0,914
46-VIPASA2,46,VIPASA2,19.0,185
47-46,47,46,774.0,766
47-56,47,56,1024.0,-1
47-ALAMOS1,47,ALAMOS1,19.0,780
47-ALAMOS2,47,ALAMOS2,19.0,-1
5-4,5,4,724.0,1071
5-6,5,6,549.0,821
5-7,5,7,1783.0,1678
5-CALDAS1,5,CALDAS1,19.0,1095
5-CALDAS2,5,CALDAS2,19.0,2517
56-47,56,47,881.0,391
56-TMENGA5,56,TMENGA5,19.0,-193
56-TMENGA7,56,TMENGA7,19.0,399
6-5,6,5,484.0,545
6-7,6,7,553.0,1061
6-REFUG1,6,REFUG1,19.0,545
6-REFUG2,6,REFUG2,19.0,1061
7-4,7,4,1724.0,425
7-40,7,40,1292.0,2556
7-5,7,5,1037.0,484
7-6,7,6,553.0,525
7-8,7,8,661.0,1019
7-PAMPA1,7,PAMPA1,19.0,1434
7-PAMPA2,7,PAMPA2,19.0,3633
8-40,8,40,625.0,1074
8-7,8,7,660.0,577
8-PLATOR1,8,PLATOR1,19.0,577
8-PLATOR2,8,PLATOR2,19.0,1074
9-10,9,10,536.0,1055
9-40,9,40,448.0,639
9-LIDO1,9,LIDO1,19.0,639
9-LIDO4,9,LIDO4,19.0,1055
ALAMOS1-47,ALAMOS1,47,19.0,780
ALAMOS2-47,ALAMOS2,47,19.0,-1
BUITRE1-2,BUITRE1,2,19.0,856
BUITRE2-2,BUITRE2,2,19.0,1570
CAICED1-42,CAICED1,42,19.0,1019
CALDAS1-5,CALDAS1,5,19.0,1095
CALDAS2-5,CALDAS2,5,19.0,2517
CAPRI2-4,CAPRI2,4,19.0,3019
CAPRI3-4,CAPRI3,4,19.0,1397
CENTRO1-28,CENTRO1,28,19.0,815
CHIMI3-38,CHIMI3,38,19.0,2051
ERMI1-29,ERMI1,29,19.0,973
ESTAD2-11,ESTAD2,11,19.0,2855
ESTAD3-11,ESTAD3,11,19.0,2370
FATI1-33,FATI1,33,19.0,1007
FATI2-33,FATI2,33,19.0,166
FLORAI1-37,FLORAI1,37,19.0,2318
FLORAI2-37,FLORAI2,37,19.0,38
FRAY1-27,FRAY1,27,19.0,790
L.AMERI1-44,L.AMERI1,44,19.0,1176
L.AMERI2-44,L.AMERI2,44,19.0,405
LIDO1-9,LIDO1,9,19.0,639
LIDO4-9,LIDO4,9,19.0,1055
MANZA2-12,MANZA2,12,19.0,957
MANZA3-12,MANZA3,12,19.0,823
MELEN1-3,MELEN1,3,19.0,1357
MELEN2-3,MELEN2,3,19.0,2662
MZAN1-34,MZAN1,34,19.0,968
MZAN2-34,MZAN2,34,19.0,80
PAMPA1-7,PAMPA1,7,19.0,1434
