Stop Name,Stop ID,# entering,# leaving,# passengers
Chiminangos A2,CHIMI3,129,0,129
Flora Industrial A1,FLORAI1,54,1,182
Salomia A1,SALOM1,52,5,229
Popular A1,POPU1,47,7,269
Manzanares A1,MZAN1,99,2,366
Fatima A1,FATI1,132,9,489
Rio Cali A1,RIOC1,55,29,515
Torre de Cali A2,TORRE3,401,38,878
La Ermita A1,ERMI1,385,33,1230
Centro A1,CENTRO1,475,161,1544
Fray Damian A1,FRAY1,12,4,1552
San Bosco A2,SANBO3,171,177,1546
Santa Librada A2,SNTLIB3,204,222,1528
Manzana del Saber A2,MANZA3,203,253,1478
Estadio A2,ESTAD3,100,121,1457
Tequendama A1,TEQUE1,126,173,1410
Lido A1,LIDO1,85,133,1362
Unidad Deportiva A2,UDP3,81,102,1341
Plaza de Toros A1,PLATOR1,44,115,1270
Pampalinda A1,PAMPA1,79,143,1206
Refugio A1,REFUG1,71,265,1012
Caldas A1,CALDAS1,63,198,877
Capri A2,CAPRI3,14,99,792
Melendez A1,MELEN1,20,288,524
Buitrera A1,BUITRE1,30,100,454
Univalle A1,UNIVAL1,26,72,408
Universidades A1,UNIV1,0,408,0
